row_label_raw,row_label_full,col_0,Từ 1 năm trở xuống,Trên 1 năm đến 5 năm,Trên 5 năm,Cộng,numeric__Từ 1 năm trở xuống,numeric__Trên 1 năm đến 5 năm,numeric__Trên 5 năm,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Tại ngày 31/12/2015,Tại ngày 31/12/2015,Tại ngày 31/12/2015,Tại ngày 31/12/2015,Tại ngày 31/12/2015,Tại ngày 31/12/2015,Tại ngày 31/12/2015,,,,
Tiền và các khoản tương đương tiền,Tại ngày 31/12/2015 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,708.453.871.600,-,-,708.453.871.600,708453871600.0,,,708453871600.0
"Phải thu khách hàng, phải thu khác","Tại ngày 31/12/2015 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",1.159.240.657.532,208.565.359.624,-,1.367.806.017.156,1159240657532.0,208565359624.0,,1367806017156.0
Các khoản cho vay,Tại ngày 31/12/2015 > Các khoản cho vay,Các khoản cho vay,12.295.675.465,182.300.000,-,12.477.975.465,12295675465.0,182300000.0,,12477975465.0
Đầu tư dài hạn,Tại ngày 31/12/2015 > Đầu tư dài hạn,Đầu tư dài hạn,-,10.693.505.808,-,10.693.505.808,,10693505808.0,,10693505808.0
Cộng,Tại ngày 31/12/2015 > Cộng,Cộng,1.879.990.204.597,219.441.165.432,-,2.099.431.370.029,1879990204597.0,219441165432.0,,2099431370029.0
Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,,,,
Tiền và các khoản tương đương tiền,Tại ngày 01/01/2015 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.026.375.030.780,-,-,1.026.375.030.780,1026375030780.0,,,1026375030780.0
"Phải thu khách hàng, phải thu khác","Tại ngày 01/01/2015 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",1.093.633.372.359,208.644.117.760,-,1.302.277.490.119,1093633372359.0,208644117760.0,,1302277490119.0
Các khoản cho vay,Tại ngày 01/01/2015 > Các khoản cho vay,Các khoản cho vay,2.241.649.094,182.300.000,-,2.423.949.094,2241649094.0,182300000.0,,2423949094.0
Đầu tư dài hạn,Tại ngày 01/01/2015 > Đầu tư dài hạn,Đầu tư dài hạn,-,8.674.263.572,-,8.674.263.572,,8674263572.0,,8674263572.0
Cộng,Tại ngày 01/01/2015 > Cộng,Cộng,2.122.250.052.233,217.500.681.332,-,2.339.750.733.565,2122250052233.0,217500681332.0,,2339750733565.0
