row_label_raw,row_label_full,col_0,Mối quan hệ,31/12/2015,01/01/2015,numeric__Mối quan hệ,numeric__31/12/2015,numeric__01/01/2015
,,,Mối quan hệ,VND,VND,,,
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,
Công ty TNHH Kính nổi Việt Nam (VFG),Phải thu ngắn hạn của khách hàng > Công ty TNHH Kính nổi Việt Nam (VFG),Công ty TNHH Kính nổi Việt Nam (VFG),Công ty liên kết,2.982.600.329,2.670.606.379,,2982600329.0,2670606379.0
Công ty Cổ phần Viglacera Từ Sơn,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Viglacera Từ Sơn,Công ty Cổ phần Viglacera Từ Sơn,Công ty liên kết,175.561.821,266.876.497,,175561821.0,266876497.0
Công ty Cổ phần Viglacera Hạ Long I,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Viglacera Hạ Long I,Công ty Cổ phần Viglacera Hạ Long I,Công ty liên kết,3.997.190.060,3.874.419.560,,3997190060.0,3874419560.0
Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty liên kết,840.302.531,427.787.900,,840302531.0,427787900.0
Công ty Cổ phần Vật liệu chịu lửa Viglacera Cầu Đường,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Vật liệu chịu lửa Viglacera Cầu Đường,Công ty Cổ phần Vật liệu chịu lửa Viglacera Cầu Đường,Công ty liên kết,4.337.526.104,4.183.951.804,,4337526104.0,4183951804.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,,,
Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Trả trước cho người bán ngắn hạn > Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty liên kết,315.209.899,59.812.304,,315209899.0,59812304.0
Công ty Cổ phần Vật liệu chịu lửa Viglacera Cầu Đường,Trả trước cho người bán ngắn hạn > Công ty Cổ phần Vật liệu chịu lửa Viglacera Cầu Đường,Công ty Cổ phần Vật liệu chịu lửa Viglacera Cầu Đường,Công ty liên kết,40.000.000,-,,40000000.0,
Phải trả cho người bán ngắn hạn,Phải trả cho người bán ngắn hạn,Phải trả cho người bán ngắn hạn,Phải trả cho người bán ngắn hạn,Phải trả cho người bán ngắn hạn,Phải trả cho người bán ngắn hạn,,,
Công ty Cổ phần Viglacera Từ Sơn,Phải trả cho người bán ngắn hạn > Công ty Cổ phần Viglacera Từ Sơn,Công ty Cổ phần Viglacera Từ Sơn,Công ty liên kết,134.112.000,134.112.000,,134112000.0,134112000.0
Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Phải trả cho người bán ngắn hạn > Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty liên kết,25.922.378.037,71.816.620.996,,25922378037.0,71816620996.0
Công ty Cổ phần Vật liệu chịu lửa Viglacera Cầu Đường,Phải trả cho người bán ngắn hạn > Công ty Cổ phần Vật liệu chịu lửa Viglacera Cầu Đường,Công ty Cổ phần Vật liệu chịu lửa Viglacera Cầu Đường,Công ty liên kết,1.740.265.729,2.624.581.707,,1740265729.0,2624581707.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,,,
Công ty Cổ phần Vật liệu chịu lửa Viglacera Cầu Đường,Người mua trả tiền trước ngắn hạn > Công ty Cổ phần Vật liệu chịu lửa Viglacera Cầu Đường,Công ty Cổ phần Vật liệu chịu lửa Viglacera Cầu Đường,Công ty liên kết,5.398.552,227.178.037,,5398552.0,227178037.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,,,
Công ty Cổ phần Viglacera Từ Sơn,Phải trả ngắn hạn khác > Công ty Cổ phần Viglacera Từ Sơn,Công ty Cổ phần Viglacera Từ Sơn,Công ty liên kết,67.641.700,67.641.700,,67641700.0,67641700.0
Công ty Cổ phần Viglacera Hạ Long I,Phải trả ngắn hạn khác > Công ty Cổ phần Viglacera Hạ Long I,Công ty Cổ phần Viglacera Hạ Long I,Công ty liên kết,586.885.096,374.331.387,,586885096.0,374331387.0
Giao dịch với các bên liên quan khác như sau:,Giao dịch với các bên liên quan khác như sau:,Giao dịch với các bên liên quan khác như sau:,Giao dịch với các bên liên quan khác như sau:,Giao dịch với các bên liên quan khác như sau:,Giao dịch với các bên liên quan khác như sau:,,,
,,,,Năm 2015,Từ 22/07/2014đến 31/12/2014,,,
,,,,VND,VND,,,
Thu nhập của Ban Giám đốc và HĐQT,Giao dịch với các bên liên quan khác như sau: > Thu nhập của Ban Giám đốc và HĐQT,Thu nhập của Ban Giám đốc và HĐQT,,5.603.914.640,1.834.562.673,,5603914640.0,1834562673.0
