row_label_raw,row_label_full,c) Đầu tư góp vốn vào đơn vị khác,c) Đầu tư góp vốn vào đơn vị khác > 31/12/2015,c) Đầu tư góp vốn vào đơn vị khác > 31/12/2015_1,c) Đầu tư góp vốn vào đơn vị khác > 01/01/2015,c) Đầu tư góp vốn vào đơn vị khác > 01/01/2015_1,numeric__c) Đầu tư góp vốn vào đơn vị khác > 31/12/2015,numeric__c) Đầu tư góp vốn vào đơn vị khác > 31/12/2015_1,numeric__c) Đầu tư góp vốn vào đơn vị khác > 01/01/2015,numeric__c) Đầu tư góp vốn vào đơn vị khác > 01/01/2015_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
,,,VND,VND,VND,VND,,,,
Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,12.346.709.835,(1.653.204.027),10.780.986.297,(2.106.722.725),12346709835.0,-1653204027.0,10780986297.0,-2106722725.0
- Công ty Cổ phần Viglacera Hợp Thịnh,- Công ty Cổ phần Viglacera Hợp Thịnh,- Công ty Cổ phần Viglacera Hợp Thịnh,1.305.017.929,(605.000.000),1.305.017.929,(605.000.000),1305017929.0,-605000000.0,1305017929.0,-605000000.0
- Công ty Cổ phần Giấy Tây Đô,- Công ty Cổ phần Giấy Tây Đô,- Công ty Cổ phần Giấy Tây Đô,600.000.000,(600.000.000),600.000.000,(600.000.000),600000000.0,-600000000.0,600000000.0,-600000000.0
- Công ty Cổ phần Cầu Xây,- Công ty Cổ phần Cầu Xây,- Công ty Cổ phần Cầu Xây,1.294.497.242,,1.294.497.242,-,1294497242.0,,1294497242.0,
- Công ty Cổ phần Nguyên liệu Viglacera,- Công ty Cổ phần Nguyên liệu Viglacera,- Công ty Cổ phần Nguyên liệu Viglacera,-,-,450.000.000,(450.000.000),,,450000000.0,-450000000.0
- Công ty Cổ phần Tư vấn Xây dựng Viglacera Land,- Công ty Cổ phần Tư vấn Xây dựng Viglacera Land,- Công ty Cổ phần Tư vấn Xây dựng Viglacera Land,353.167.173,(19.690.203),353.167.173,(19.690.203),353167173.0,-19690203.0,353167173.0,-19690203.0
- Công ty Cổ phần Thủy tinh Gò Vấp,- Công ty Cổ phần Thủy tinh Gò Vấp,- Công ty Cổ phần Thủy tinh Gò Vấp,520.000.000,(428.513.824),520.000.000,(432.032.522),520000000.0,-428513824.0,520000000.0,-432032522.0
- Công ty CP Visaho,- Công ty CP Visaho,- Công ty CP Visaho,1.620.000.000,-,-,,1620000000.0,,,
- Công ty Cổ Phần Viglacera Delta,- Công ty Cổ Phần Viglacera Delta,- Công ty Cổ Phần Viglacera Delta,500.000.000,,500.000.000,,500000000.0,,500000000.0,
- Công ty Cổ phần Viglacera Can Lộc[1],- Công ty Cổ phần Viglacera Can Lộc[1],- Công ty Cổ phần Viglacera Can Lộc[1],6.154.027.491,-,5.758.303.953,-,6154027491.0,,5758303953.0,
,,,12.346.709.835,(1.653.204.027),10.780.986.297,(2.106.722.725),12346709835.0,-1653204027.0,10780986297.0,-2106722725.0
