row_label_raw,row_label_full,col_0,"Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn",Cộng,"numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải,truyền dẫn",numeric__Cộng
,,,VND,VND,VND,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,39.700.740.454,13.900.521.296,53.601.261.750,39700740454.0,13900521296.0,53601261750.0
- Thuế tài chính trong năm,Nguyên giá > - Thuế tài chính trong năm,- Thuế tài chính trong năm,16.076.592.736,8.888.312.531,24.964.905.267,16076592736.0,8888312531.0,24964905267.0
- Mua lại TSCĐ thuê tài chính,Nguyên giá > - Mua lại TSCĐ thuê tài chính,- Mua lại TSCĐ thuê tài chính,(10.946.896.817),(3.548.300.545),(14.495.197.362),-10946896817.0,-3548300545.0,-14495197362.0
Số dư cuối kỳ,Nguyên giá > Số dư cuối kỳ,Số dư cuối kỳ,44.830.436.373,19.240.533.282,64.070.969.655,44830436373.0,19240533282.0,64070969655.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,11.612.249.038,3.733.465.342,15.345.714.380,11612249038.0,3733465342.0,15345714380.0
- Khấu hao trong năm,Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,4.394.179.932,3.091.771.374,7.485.951.306,4394179932.0,3091771374.0,7485951306.0
- Mua lại TSCĐ thuê tài chính,Giá trị hao mòn luỹ kế > - Mua lại TSCĐ thuê tài chính,- Mua lại TSCĐ thuê tài chính,(7.298.935.796),(1.995.214.783),(9.294.150.579),-7298935796.0,-1995214783.0,-9294150579.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,8.707.493.174,4.830.021.933,13.537.515.107,8707493174.0,4830021933.0,13537515107.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,28.088.491.416,10.167.055.954,38.255.547.370,28088491416.0,10167055954.0,38255547370.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,36.122.943.199,14.410.511.349,50.533.454.548,36122943199.0,14410511349.0,50533454548.0
