row_label_raw,row_label_full,col_0,Năm 2015,Từ 22/07/2014đến 31/12/2014,numeric__Năm 2015,numeric__Từ 22/07/2014đến 31/12/2014
,,,VND,VND,,
"Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",10.997.937.852,8.200.600.039,10997937852.0,8200600039.0
Chi phí nhân công,Chi phí nhân công,Chi phí nhân công,166.502.795.353,81.901.687.967,166502795353.0,81901687967.0
"Chi phí công cụ, dụng cụ, đồ dùng","Chi phí công cụ, dụng cụ, đồ dùng","Chi phí công cụ, dụng cụ, đồ dùng",2.189.038.676,2.407.869.236,2189038676.0,2407869236.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,33.995.974.211,16.683.544.742,33995974211.0,16683544742.0
"Thuế, phí và lệ phí","Thuế, phí và lệ phí","Thuế, phí và lệ phí",23.468.292.880,13.542.556.118,23468292880.0,13542556118.0
Chi phí dự phòng,Chi phí dự phòng,Chi phí dự phòng,14.983.373.332,21.091.619.639,14983373332.0,21091619639.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,53.878.010.419,34.094.383.507,53878010419.0,34094383507.0
Chi phí khác bằng tiền,Chi phí khác bằng tiền,Chi phí khác bằng tiền,128.104.995.147,75.770.905.135,128104995147.0,75770905135.0
Trích quỹ phát triển khoa học công nghệ,Trích quỹ phát triển khoa học công nghệ,Trích quỹ phát triển khoa học công nghệ,10.000.000.000,-,10000000000.0,
Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,692.311.532,346.155.766,692311532.0,346155766.0
,,,444.812.729.402,254.039.322.149,444812729402.0,254039322149.0
