row_label_raw,row_label_full,col_0,Nhóm bắt động sản và xây dựng,"Nhóm Kính, sử, sen vòi, phụ kiện",Nhóm gạch ốp lát,"Nhóm gạch, ngói đất sét nung",Các bộ phận khác,Loại trừ,Tổng cộng toàn Doanh nghiệp,numeric__Nhóm bắt động sản và xây dựng,"numeric__Nhóm Kính, sử, sen vòi, phụ kiện",numeric__Nhóm gạch ốp lát,"numeric__Nhóm gạch, ngói đất sét nung",numeric__Các bộ phận khác,numeric__Loại trừ,numeric__Tổng cộng toàn Doanh nghiệp
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ,Doanh thu thuần từ bán hàng và cung cấp dịch vụ,Doanh thu thuần từ bán hàng và cung cấp dịch vụ,2.059.236.332.086,2.120.842.804.273,1.629.659.579.262,1.776.221.361.846,233.944.522.807,-,7.819.904.600.274,2059236332086.0,2120842804273.0,1629659579262.0,1776221361846.0,233944522807.0,,7819904600274.0
Giá vốn của hàng bán,Giá vốn của hàng bán,Giá vốn của hàng bán,1.656.441.918.516,1.652.393.933.493,1.207.298.904.837,1.399.234.311.554,187.655.387.085,-,6.103.024.455.485,1656441918516.0,1652393933493.0,1207298904837.0,1399234311554.0,187655387085.0,,6103024455485.0
Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,402.794.413.570,468.448.870.780,422.360.674.425,376.987.050.292,46.289.135.722,-,1.716.880.144.789,402794413570.0,468448870780.0,422360674425.0,376987050292.0,46289135722.0,,1716880144789.0
Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,493.968.687.309,76.728.328.003,189.232.531.618,165.418.947.862,8.008.481.348,-,173.427.429.210,493968687309.0,76728328003.0,189232531618.0,165418947862.0,8008481348.0,,173427429210.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,9.411.919.686.712,1.650.424.594.919,1.247.750.385.494,1.479.596.215.857,303.106.214.855,(2.684.390.049.624),11.408.407.048.213,9411919686712.0,1650424594919.0,1247750385494.0,1479596215857.0,303106214855.0,-2684390049624.0,11408407048213.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,254.498.137.974,,,,,,,254498137974.0
Tổng Tài sản,Tổng Tài sản,Tổng Tài sản,9.411.919.686.712,1.650.424.594.919,1.247.750.385.494,1.479.596.215.857,303.106.214.855,(2.684.390.049.624),11.662.905.186.187,9411919686712.0,1650424594919.0,1247750385494.0,1479596215857.0,303106214855.0,-2684390049624.0,11662905186187.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,7.265.214.415.956,1.447.512.171.158,999.001.047.356,1.068.268.127.940,216.517.434.107,(2.635.346.228.959),8.361.166.967.558,7265214415956.0,1447512171158.0,999001047356.0,1068268127940.0,216517434107.0,-2635346228959.0,8361166967558.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,7.265.214.415.956,1.447.512.171.158,999.001.047.356,1.068.268.127.940,216.517.434.107,(2.635.346.228.959),8.361.166.967.558,7265214415956.0,1447512171158.0,999001047356.0,1068268127940.0,216517434107.0,-2635346228959.0,8361166967558.0
