row_label_raw,row_label_full,col_0,Nhà và quyền sử dụng đất,Cơ sở hạ tầng,Cộng,numeric__Nhà và quyền sử dụng đất,numeric__Cơ sở hạ tầng,numeric__Cộng
,,,VND,VND,VND,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,780.973.343.058,1.309.561.643.510,2.090.534.986.568,780973343058.0,1309561643510.0,2090534986568.0
- Tăng từ đầu tư xây dựng cơ bản,Nguyên giá > - Tăng từ đầu tư xây dựng cơ bản,- Tăng từ đầu tư xây dựng cơ bản,158.594.171.994,26.176.074.775,184.770.246.769,158594171994.0,26176074775.0,184770246769.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(7.127.790.082),-,(7.127.790.082),-7127790082.0,,-7127790082.0
- Giảm do điều chỉnh theo quyết toán,Nguyên giá > - Giảm do điều chỉnh theo quyết toán,- Giảm do điều chỉnh theo quyết toán,(41.167.852),-,(41.167.852),-41167852.0,,-41167852.0
- Giảm do bàn giao cho Nhà Nước[1],Nguyên giá > - Giảm do bàn giao cho Nhà Nước[1],- Giảm do bàn giao cho Nhà Nước[1],(6.267.554.025),-,(6.267.554.025),-6267554025.0,,-6267554025.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,926.131.003.093,1.335.737.718.285,2.261.868.721.378,926131003093.0,1335737718285.0,2261868721378.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,118.647.868.975,170.458.682.008,289.106.550.983,118647868975.0,170458682008.0,289106550983.0
- Khấu hao trong năm,Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,30.718.898.608,31.016.953.249,61.735.851.857,30718898608.0,31016953249.0,61735851857.0
"- Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(2.241.005.433),-,(2.241.005.433),-2241005433.0,,-2241005433.0
- Giảm do bàn giao cho Nhà Nước[1],Giá trị hao mòn luỹ kế > - Giảm do bàn giao cho Nhà Nước[1],- Giảm do bàn giao cho Nhà Nước[1],(187.383.686),-,(187.383.686),-187383686.0,,-187383686.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,146.938.378.464,201.475.635.257,348.414.013.721,146938378464.0,201475635257.0,348414013721.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,662.325.474.083,1.139.102.961.502,1.801.428.435.585,662325474083.0,1139102961502.0,1801428435585.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,779.192.624.629,1.134.262.083.028,1.913.454.707.657,779192624629.0,1134262083028.0,1913454707657.0
