row_label_raw,row_label_full,col_0,Từ 1 năm trở xuống,Trên 1 năm đến 5 năm,Trên 5 năm,Cộng,numeric__Từ 1 năm trở xuống,numeric__Trên 1 năm đến 5 năm,numeric__Trên 5 năm,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Tại ngày 31/12/2015,Tại ngày 31/12/2015,Tại ngày 31/12/2015,Tại ngày 31/12/2015,Tại ngày 31/12/2015,Tại ngày 31/12/2015,Tại ngày 31/12/2015,,,,
Vay và nợ,Tại ngày 31/12/2015 > Vay và nợ,Vay và nợ,1.429.033.458.824,811.323.863.751,-,2.240.357.322.575,1429033458824.0,811323863751.0,,2240357322575.0
"Phải trả người bán, phải trả khác","Tại ngày 31/12/2015 > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",1.443.262.341.867,40.260.058.179,-,1.483.522.400.046,1443262341867.0,40260058179.0,,1483522400046.0
Chi phí phải trả,Tại ngày 31/12/2015 > Chi phí phải trả,Chi phí phải trả,685.445.692.646,11.529.606.017,-,696.975.298.663,685445692646.0,11529606017.0,,696975298663.0
,,,3.557.741.493.337,863.113.527.947,-,4.420.855.021.284,3557741493337.0,863113527947.0,,4420855021284.0
Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,,,,
Vay và nợ,Tại ngày 01/01/2015 > Vay và nợ,Vay và nợ,1.514.928.290.350,993.283.586.884,-,2.508.211.877.234,1514928290350.0,993283586884.0,,2508211877234.0
"Phải trả người bán, phải trả khác","Tại ngày 01/01/2015 > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",1.621.259.768.300,31.765.109.758,-,1.653.024.878.058,1621259768300.0,31765109758.0,,1653024878058.0
Chi phí phải trả,Tại ngày 01/01/2015 > Chi phí phải trả,Chi phí phải trả,1.236.442.134.398,6.575.531.057,-,1.243.017.665.455,1236442134398.0,6575531057.0,,1243017665455.0
,,,4.372.630.193.048,1.031.624.227.699,-,5.404.254.420.747,4372630193048.0,1031624227699.0,,5404254420747.0
