row_label_raw,row_label_full,31/12/2015 > Giá trị,31/12/2015 > Số có khả năng trả nợ,01/01/2015 > Giá trị,01/01/2015 > Số có khả năng trả nợ,numeric__31/12/2015 > Số có khả năng trả nợ,numeric__01/01/2015 > Giá trị,numeric__01/01/2015 > Số có khả năng trả nợ
VND,VND,VND,VND,VND,VND,,,
3.389.162.465,VND > 3.389.162.465,3.389.162.465,3.389.162.465,3.389.162.465,3.389.162.465,3389162465.0,3389162465.0,3389162465.0
3.579.747.591,VND > 3.579.747.591,3.579.747.591,3.579.747.591,3.579.747.591,3.579.747.591,3579747591.0,3579747591.0,3579747591.0
1.954.107.000,VND > 1.954.107.000,1.954.107.000,1.954.107.000,1.954.107.000,1.954.107.000,1954107000.0,1954107000.0,1954107000.0
2.253.545.016,VND > 2.253.545.016,2.253.545.016,2.253.545.016,-,-,2253545016.0,,
828.515.955,VND > 828.515.955,828.515.955,828.515.955,4.328.515.955,4.328.515.955,828515955.0,4328515955.0,4328515955.0
1.000.000.000,VND > 1.000.000.000,1.000.000.000,1.000.000.000,2.277.690.391,2.277.690.391,1000000000.0,2277690391.0,2277690391.0
1.424.551.130,VND > 1.424.551.130,1.424.551.130,1.424.551.130,1.774.551.130,1.774.551.130,1424551130.0,1774551130.0,1774551130.0
1.436.469.931,VND > 1.436.469.931,1.436.469.931,1.436.469.931,1.506.469.931,1.506.469.931,1436469931.0,1506469931.0,1506469931.0
1.147.690.739,VND > 1.147.690.739,1.147.690.739,1.147.690.739,1.482.794.161,1.482.794.161,1147690739.0,1482794161.0,1482794161.0
1.262.697.075,VND > 1.262.697.075,1.262.697.075,1.262.697.075,1.262.697.075,1.262.697.075,1262697075.0,1262697075.0,1262697075.0
1.192.025.846,VND > 1.192.025.846,1.192.025.846,1.192.025.846,1.192.025.846,1.192.025.846,1192025846.0,1192025846.0,1192025846.0
847.237.218,VND > 847.237.218,847.237.218,847.237.218,1.413.507.838,1.413.507.838,847237218.0,1413507838.0,1413507838.0
33.509.213.276,VND > 33.509.213.276,33.509.213.276,33.509.213.276,31.798.519.114,31.798.519.114,33509213276.0,31798519114.0,31798519114.0
53.824.963.242,VND > 53.824.963.242,53.824.963.242,53.824.963.242,55.959.788.497,55.959.788.497,53824963242.0,55959788497.0,55959788497.0
27.796.755.766,VND > 27.796.755.766,27.796.755.766,27.796.755.766,74.575.314.703,74.575.314.703,27796755766.0,74575314703.0,74575314703.0
