row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc VND,Số cuối năm > Giá trị hợp lý VND,Số đầu năm > Giá gốc VND,Số đầu năm > Giá trị hợp lý VND,numeric__Số cuối năm > Giá gốc VND,numeric__Số cuối năm > Giá trị hợp lý VND,numeric__Số đầu năm > Giá gốc VND,numeric__Số đầu năm > Giá trị hợp lý VND
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,472.914.050.245,771.374.100.400,557.013.231.309,1.259.576.290.700,472914050245.0,771374100400.0,557013231309.0,1259576290700.0
SGN,SGN,SGN,172.712.731.401,448.859.875.000,172.672.917.801,578.439.054.900,172712731401.0,448859875000.0,172672917801.0,578439054900.0
DHC,DHC,DHC,52.055.585.738,86.572.890.000,48.060.985.032,102.335.269.400,52055585738.0,86572890000.0,48060985032.0,102335269400.0
HAH,HAH,HAH,26.089.909.120,12.979.264.500,26.089.630.020,19.228.100.000,26089909120.0,12979264500.0,26089630020.0,19228100000.0
IDC,IDC,IDC,21.761.298.400,21.667.499.700,21.761.298.400,25.982.239.900,21761298400.0,21667499700.0,21761298400.0,25982239900.0
Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,200.294.525.586,201.294.571.200,288.428.400.056,533.591.626.500,200294525586.0,201294571200.0,288428400056.0,533591626500.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,385.192.646.900,385.192.646.900,162.207.227.300,179.129.627.300,385192646900.0,385192646900.0,162207227300.0,179129627300.0
CTCP PAN Farm,CTCP PAN Farm,CTCP PAN Farm,53.408.921.300,53.408.921.300,53.408.921.300,53.408.921.300,53408921300.0,53408921300.0,53408921300.0,53408921300.0
CTCP ConCung,CTCP ConCung,CTCP ConCung,42.241.999.000,42.241.999.000,28.109.556.000,28.109.556.000,42241999000.0,42241999000.0,28109556000.0,28109556000.0
Cổ phiếu chưa niêm yết khác,Cổ phiếu chưa niêm yết khác,Cổ phiếu chưa niêm yết khác,289.541.726.600,289.541.726.600,80.688.750.000,97.611.150.000,289541726600.0,289541726600.0,80688750000.0,97611150000.0
Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,39.094.900.000,39.094.900.000,-,-,39094900000.0,39094900000.0,,
Tổng cộng,Tổng cộng,Tổng cộng,897.201.597.145,1.195.661.647.300,719.220.458.609,1.438.705.918.000,897201597145.0,1195661647300.0,719220458609.0,1438705918000.0
