row_label_raw,row_label_full,col_0,Phần mềmVND,Quyền sử dụng đấtVND,Tài sản vô hình khácVND,Tổng cộngVND,numeric__Phần mềmVND,numeric__Quyền sử dụng đấtVND,numeric__Tài sản vô hình khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Ngày 1 tháng 1 năm 2018,Nguyên giá > Ngày 1 tháng 1 năm 2018,Ngày 1 tháng 1 năm 2018,69.402.041.464,109.671.558.000,6.724.215.842,185.797.815.306,69402041464.0,109671558000.0,6724215842.0,185797815306.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,21.603.113.723,-,2.508.484.500,24.111.598.223,21603113723.0,,2508484500.0,24111598223.0
Mua mới,Nguyên giá > Mua mới,Mua mới,21.603.113.723,-,2.508.484.500,24.111.598.223,21603113723.0,,2508484500.0,24111598223.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,-,(109.671.558.000),-,(109.671.558.000),,-109671558000.0,,-109671558000.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(109.671.558.000),-,(109.671.558.000),,-109671558000.0,,-109671558000.0
Ngày 31 tháng 12 năm 2018,Nguyên giá > Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,91.005.155.187,-,9.232.700.342,100.237.855.529,91005155187.0,,9232700342.0,100237855529.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,
Ngày 1 tháng 1 năm 2018,Hao mòn lũy kế > Ngày 1 tháng 1 năm 2018,Ngày 1 tháng 1 năm 2018,52.800.276.581,-,5.164.403.793,57.964.680.374,52800276581.0,,5164403793.0,57964680374.0
Tăng trong năm,Hao mòn lũy kế > Tăng trong năm,Tăng trong năm,6.787.390.040,-,1.058.112.509,7.845.502.549,6787390040.0,,1058112509.0,7845502549.0
Hao mòn trong năm,Hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,6.787.390.040,-,1.058.112.509,7.845.502.549,6787390040.0,,1058112509.0,7845502549.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,-,-,,,,
Ngày 31 tháng 12 năm 2018,Giảm trong năm > Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,59.587.666.621,-,6.222.516.302,65.810.182.923,59587666621.0,,6222516302.0,65810182923.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Ngày 1 tháng 1 năm 2018,Giá trị còn lại > Ngày 1 tháng 1 năm 2018,Ngày 1 tháng 1 năm 2018,16.601.764.883,109.671.558.000,1.559.812.049,127.833.134.932,16601764883.0,109671558000.0,1559812049.0,127833134932.0
Ngày 31 tháng 12 năm 2018,Giá trị còn lại > Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,31.417.488.566,-,3.010.184.040,34.427.672.606,31417488566.0,,3010184040.0,34427672606.0
