row_label_raw,row_label_full,Giá trị trái phiếu chuyển đổi phát hành,Số cuối nămVND > 1.150.000.000.000,Số đầu nămVND > -,numeric__Số cuối nămVND > 1.150.000.000.000,numeric__Số đầu nămVND > -
Cơ cấu vốn chủ sở hữu,Cơ cấu vốn chủ sở hữu,Cơ cấu vốn chủ sở hữu,113.779.095.785,-,113779095785.0,
Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu nợ gốc ghi nhận ban đầu,1.036.220.904.215,-,1036220904215.0,
Giá trị phân bổ lũy kế phần giá trị chiết khấu vào cơ cấu nợ gốc,Giá trị phân bổ lũy kế phần giá trị chiết khấu vào cơ cấu nợ gốc,Giá trị phân bổ lũy kế phần giá trị chiết khấu vào cơ cấu nợ gốc,,,,
Số đầu năm,Số đầu năm,Số đầu năm,-,-,,
Số phân bổ tăng trong năm,Số đầu năm > Số phân bổ tăng trong năm,Số phân bổ tăng trong năm,32.099.487.319,-,32099487319.0,
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,32.099.487.319,-,32099487319.0,
Cơ cấu nợ gốc tại ngày cuối năm,Số đầu năm > Cơ cấu nợ gốc tại ngày cuối năm,Cơ cấu nợ gốc tại ngày cuối năm,1.068.320.391.534,-,1068320391534.0,
