row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy móc thiết bịVND,Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy móc thiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Ngày 1 tháng 1 năm 2018,Nguyên giá > Ngày 1 tháng 1 năm 2018,Ngày 1 tháng 1 năm 2018,2.609.391.520,93.744.345.562,17.551.416.700,161.260.000,114.066.413.782,2609391520.0,93744345562.0,17551416700.0,161260000.0,114066413782.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,64.748.613.242,-,947.677.315,65.696.290.557,,64748613242.0,,947677315.0,65696290557.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,64.748.613.242,-,947.677.315,65.696.290.557,,64748613242.0,,947677315.0,65696290557.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(2.609.391.520),(2.564.893.847),-,(67.760.000),(5.242.045.367),-2609391520.0,-2564893847.0,,-67760000.0,-5242045367.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.609.391.520),(2.564.893.847),-,(67.760.000),(5.242.045.367),-2609391520.0,-2564893847.0,,-67760000.0,-5242045367.0
Ngày 31 tháng 12 năm 2018,Nguyên giá > Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,-,155.928.064.957,17.551.416.700,1.041.177.315,174.520.658.972,,155928064957.0,17551416700.0,1041177315.0,174520658972.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,
Ngày 1 tháng 1 năm 2018,Khấu hao lũy kế > Ngày 1 tháng 1 năm 2018,Ngày 1 tháng 1 năm 2018,2.609.391.520,68.516.165.866,9.895.271.914,161.260.000,81.182.089.300,2609391520.0,68516165866.0,9895271914.0,161260000.0,81182089300.0
Tăng trong năm,Khấu hao lũy kế > Tăng trong năm,Tăng trong năm,-,12.632.489.744,1.779.126.354,89.994.817,14.501.610.915,,12632489744.0,1779126354.0,89994817.0,14501610915.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,12.632.489.744,1.779.126.354,89.994.817,14.501.610.915,,12632489744.0,1779126354.0,89994817.0,14501610915.0
Giảm trong năm,Khấu hao lũy kế > Giảm trong năm,Giảm trong năm,(2.609.391.520),(2.564.893.847),-,(67.760.000),(5.242.045.367),-2609391520.0,-2564893847.0,,-67760000.0,-5242045367.0
"Thanh lý, nhượng bán","Khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.609.391.520),(2.564.893.847),-,(67.760.000),(5.242.045.367),-2609391520.0,-2564893847.0,,-67760000.0,-5242045367.0
Ngày 31 tháng 12 năm 2018,Khấu hao lũy kế > Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,-,78.583.761.763,11.674.398.268,183.494.817,90.441.654.848,,78583761763.0,11674398268.0,183494817.0,90441654848.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Ngày 1 tháng 1 năm 2018,Giá trị còn lại > Ngày 1 tháng 1 năm 2018,Ngày 1 tháng 1 năm 2018,-,25.228.179.696,7.656.144.786,-,32.884.324.482,,25228179696.0,7656144786.0,,32884324482.0
Ngày 31 tháng 12 năm 2018,Giá trị còn lại > Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,-,77.344.303.194,5.877.018.432,857.682.498,84.079.004.124,,77344303194.0,5877018432.0,857682498.0,84079004124.0
Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,,,,,
,,,,Số cuối nămVND,Số đầu nămVND,,,,,,,
Nguyên giá TSCĐ đã khấu hao hết nhưng vẫn còn sử dụng,Các thông tin khác về tài sản cố định hữu hình: > Nguyên giá TSCĐ đã khấu hao hết nhưng vẫn còn sử dụng,Nguyên giá TSCĐ đã khấu hao hết nhưng vẫn còn sử dụng,,61.353.643.773,65.738.405.296,,,,61353643773.0,65738405296.0,,
