row_label_raw,row_label_full,Mã số,CHÍ TIÊU,Thuyết minh,Năm nay VND,Năm trước VND,numeric__CHÍ TIÊU,numeric__Thuyết minh,numeric__Năm nay VND,numeric__Năm trước VND
,,,III. DOANH THU HOẠT ĐỘNG TÀI CHÍNH,,,,,,,
41,41,41,1. Chênh lệch lãi tỷ giá hối đoái đã và chưa thực hiện,,2.647.635.755,25.127,,,2647635755.0,25127.0
42,42,42,"2. Doanh thu, dự thu cổ tức, lãi tiền gửi không cổ định",,121.226.701.399,112.672.178.230,,,121226701399.0,112672178230.0
43,43,43,"3. Lãi bán, thanh lý các khoản đầu tư vào công ty con, liên kết, liên doanh",,275.527.823.737,-,,,275527823737.0,
44,44,44,4. Doanh thu khác về đầu tư,,4.638.165.478,-,,,4638165478.0,
50,50,50,Cộng doanh thu hoạt động tài chính,35,404.040.326.369,112.672.203.357,,35.0,404040326369.0,112672203357.0
,,,IV. CHI PHÍ TÀI CHÍNH,,,,,,,
51,51,51,1. Chênh lệch lỗ tỷ giá hối đoái đã và chưa thực hiện,,4.448.278.305,1.777.511.026,,,4448278305.0,1777511026.0
52,52,52,2. Chi phí lãi vay,,536.540.563.261,343.581.229.539,,,536540563261.0,343581229539.0
55,55,55,3. Chi phí tài chính khác,,5.680.695.698,-,,,5680695698.0,
60,60,60,Cộng chi phí tài chính,36,546.669.537.264,345.358.740.565,,36.0,546669537264.0,345358740565.0
62,62,62,VI. CHI PHÍ QUẢN LÝ,37,157.610.684.534,150.921.257.712,,37.0,157610684534.0,150921257712.0
70,70,70,VII. KẾT QUẢ HOẠT ĐỘNG,,1.681.574.377.338,1.275.537.500.491,,,1681574377338.0,1275537500491.0
,,,VIII. THU NHẬP KHÁC VÀ CHI PHÍ KHÁC,,,,,,,
71,71,71,Thu nhập khác,,58.386.561.835,2.871.235.714,,,58386561835.0,2871235714.0
72,72,72,Chi phí khác,,2.233.707.582,165.473.587,,,2233707582.0,165473587.0
80,80,80,Cộng kết quả hoạt động khác,38,56.152.854.253,2.705.762.127,,38.0,56152854253.0,2705762127.0
90,90,90,IX. TỔNG LỢI NHUẬN KẾ TOÁN TRƯỚC THUẾ,,1.737.727.231.591,1.278.243.262.618,,,1737727231591.0,1278243262618.0
91,91,91,Lợi nhuận đã thực hiện,,1.995.602.886.667,1.243.555.800.616,,,1995602886667.0,1243555800616.0
92,92,92,Lợi nhuận chưa thực hiện,,(257.875.655.076),34.687.462.002,,,-257875655076.0,34687462002.0
100,100,100,X. CHI PHÍ THUẾ THU NHẬP DOANH NGHIỆP (TNDN),39,316.899.793.843,224.233.157.861,,39.0,316899793843.0,224233157861.0
100.1,100.1,100.1,Chi phí thuế TNDN hiện hành,39.1,311.328.839.663,206.606.163.446,,391.0,311328839663.0,206606163446.0
100.2,100.2,100.2,(Thu nhập)/chi phí thuế TNDN hoãn lại,39.2,5.570.954.180,17.626.994.415,,392.0,5570954180.0,17626994415.0
200,200,200,XI. LỢI NHUẬN KẾ TOÁN SAU THUẾ TNDN,,1.420.827.437.748,1.054.010.104.757,,,1420827437748.0,1054010104757.0
