row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc VND,Số cuối năm > Giá trị hợp lý VND,Số đầu năm > Giá gốc VND,Số đầu năm > Giá trị hợp lý VND,numeric__Số cuối năm > Giá gốc VND,numeric__Số cuối năm > Giá trị hợp lý VND,numeric__Số đầu năm > Giá gốc VND,numeric__Số đầu năm > Giá trị hợp lý VND
Cổ phiếu và Chứng chỉ quỹ (CCQ) niêm yết (1),Cổ phiếu và Chứng chỉ quỹ (CCQ) niêm yết (1),Cổ phiếu và Chứng chỉ quỹ (CCQ) niêm yết (1),1.590.440.590.076,1.352.103.397.110,1.111.342.485.236,1.135.747.783.980,1590440590076.0,1352103397110.0,1111342485236.0,1135747783980.0
GEX,GEX,GEX,276.761.361.866,217.207.440.750,4.693.285,6.349.500,276761361866.0,217207440750.0,4693285.0,6349500.0
DBC,DBC,DBC,253.132.982.078,227.429.176.000,251.330.479.988,254.267.187.300,253132982078.0,227429176000.0,251330479988.0,254267187300.0
ELC,ELC,ELC,191.566.282.405,68.138.211.840,203.948.435.705,128.478.216.400,191566282405.0,68138211840.0,203948435705.0,128478216400.0
FPT,FPT,FPT,190.787.384.353,169.652.186.800,66.533.044.267,65.851.317.300,190787384353.0,169652186800.0,66533044267.0,65851317300.0
TMS,TMS,TMS,164.063.081.859,174.607.400.100,-,-,164063081859.0,174607400100.0,,
OPC,OPC,OPC,163.962.651.004,169.413.760.000,-,-,163962651004.0,169413760000.0,,
HPG,HPG,HPG,114.029.894.675,99.902.390.800,21.461.319.460,30.578.713.900,114029894675.0,99902390800.0,21461319460.0,30578713900.0
PLX,PLX,PLX,70.261.715.727,67.150.258.000,180.274.333.463,290.288.850.000,70261715727.0,67150258000.0,180274333463.0,290288850000.0
Cổ phiếu và CCQ niêm yết khác,Cổ phiếu và CCQ niêm yết khác,Cổ phiếu và CCQ niêm yết khác,165.875.236.109,158.602.572.820,387.790.179.068,366.277.149.580,165875236109.0,158602572820.0,387790179068.0,366277149580.0
Cổ phiếu và CCQ chưa niêm yết,Cổ phiếu và CCQ chưa niêm yết,Cổ phiếu và CCQ chưa niêm yết,120.582.017.570,112.889.392.928,105.931.464.856,88.374.404.720,120582017570.0,112889392928.0,105931464856.0,88374404720.0
CCQ SSIBF,CCQ SSIBF,CCQ SSIBF,40.000.000.000,44.449.000.000,40.000.000.000,41.600.600.000,40000000000.0,44449000000.0,40000000000.0,41600600000.0
CCQ SSISCA,CCQ SSISCA,CCQ SSISCA,26.500.000.000,33.915.293.454,26.500.000.000,38.567.128.950,26500000000.0,33915293454.0,26500000000.0,38567128950.0
CTCP Xây dựng Công nghiệp Descon,CTCP Xây dựng Công nghiệp Descon,CTCP Xây dựng Công nghiệp Descon,17.456.571.492,-,17.456.571.492,8.182.129.000,17456571492.0,,17456571492.0,8182129000.0
Cổ phiếu chưa niêm yết khác,Cổ phiếu chưa niêm yết khác,Cổ phiếu chưa niêm yết khác,36.625.446.078,34.525.099.474,21.974.893.364,24.546.770,36625446078.0,34525099474.0,21974893364.0,24546770.0
Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,560.731.951.620,555.683.951.620,204.725.480.000,204.725.480.000,560731951620.0,555683951620.0,204725480000.0,204725480000.0
Tổng cộng,Tổng cộng,Tổng cộng,2.271.754.559.266,2.020.676.741.658,1.421.999.430.092,1.428.847.668.700,2271754559266.0,2020676741658.0,1421999430092.0,1428847668700.0
