row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay VND,Năm trước VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay VND,numeric__Năm trước VND
,,,"I. Lưu chuyển tiền hoạt động môi giới, ủy thác của khách hàng",,,,,,,
01,01,01,1. Tiền thu bán chứng khoán môi giới cho khách hàng,,233.089.481.103.978,158.362.644.597.181,,,233089481103978.0,158362644597181.0
02,02,02,2. Tiền chi mua chứng khoán môi giới cho khách hàng,,(197.409.880.869.375),(151.564.405.275.980),,,-197409880869375.0,-151564405275980.0
07,07,07,3. Nhận tiền gửi để thanh toán giao dịch chứng khoán của khách hàng (nhận/rút số năm trước),,194.868.357.805.337,(4.094.047.857.546),,,194868357805337.0,-4094047857546.0
07.1,07.1,07.1,4. Tiền gửi ký quỹ của Nhà đầu tư tại VSD,,465.830.714.626,145.075.049.043,,,465830714626.0,145075049043.0
08,08,08,5. Chi trả thanh toán giao dịch chứng khoán của khách hàng,,(231.704.962.865.131),-,,,-231704962865131.0,
11,11,11,6. Chi trả phí lưu ký chứng khoán của khách hàng,,(14.784.414.818),(11.620.149.721),,,-14784414818.0,-11620149721.0
14,14,14,7. Tiền thu của Tổ chức phát hành chứng khoán,,2.943.124.849.302,1.893.296.516.813,,,2943124849302.0,1893296516813.0
15,15,15,8. Tiền chi trả Tổ chức phát hành chứng khoán,,(2.970.388.386.490),(2.345.252.169.108),,,-2970388386490.0,-2345252169108.0
20,20,20,(Giảm)/tăng tiền thuần trong năm,,(733.222.062.571),2.385.690.710.682,,,-733222062571.0,2385690710682.0
30,30,30,II. Tiền và các khoản tương đương tiền đầu năm của khách hàng,,4.016.678.482.634,1.630.987.771.952,,,4016678482634.0,1630987771952.0
31,31,31,Tiền gửi ngân hàng đầu năm:,,4.016.678.482.634,1.630.987.771.952,,,4016678482634.0,1630987771952.0
32,32,32,- Tiền gửi của Nhà đầu tư về giao dịch chứng khoán theo phương thức CTCK quản lý,,3.980.030.174.992,1.616.354.145.533,,,3980030174992.0,1616354145533.0
,,,Trong đó: Tiền gửi ký quỹ của Nhà đầu tư tại VSD,,145.075.049.043,-,,,145075049043.0,
33,33,33,- Tiền gửi tổng hợp giao dịch chứng khoán cho khách hàng,,17.567.220.094,5.034.657.285,,,17567220094.0,5034657285.0
35,35,35,- Tiền gửi của Tổ chức phát hành,,19.081.087.548,9.598.969.134,,,19081087548.0,9598969134.0
40,40,40,III. Tiền và các khoản tương đương tiền cuối năm của khách hàng (\( 40 = 20 + 30 \)),,3.283.456.420.063,4.016.678.482.634,,,3283456420063.0,4016678482634.0
41,41,41,Tiền gửi ngân hàng cuối năm:,,3.283.456.420.063,4.016.678.482.634,,,3283456420063.0,4016678482634.0
42,42,42,- Tiền gửi của Nhà đầu tư về giao dịch chứng khoán theo phương thức CTCK quản lý,28.12,3.277.099.541.551,3.980.030.174.992,,2812.0,3277099541551.0,3980030174992.0
,,,Trong đó: Tiền gửi ký quỹ của Nhà đầu tư tại VSD,,610.905.763.675,145.075.049.043,,,610905763675.0,145075049043.0
43,43,43,- Tiền gửi tổng hợp giao dịch chứng khoán cho khách hàng,28.10,4.553.932.668,17.567.220.094,,2810.0,4553932668.0,17567220094.0
45,45,45,- Tiền gửi của Tổ chức phát hành,28.11,1.802.945.844,19.081.087.548,,2811.0,1802945844.0,19081087548.0
