row_label_raw,row_label_full,col_0,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
Từ tài sản tài chính FVTPL,Từ tài sản tài chính FVTPL,Từ tài sản tài chính FVTPL,88.354.252.062,46.435.438.576,88354252062.0,46435438576.0
Từ tài sản tài chính HTM,Từ tài sản tài chính HTM,Từ tài sản tài chính HTM,715.959.425.579,450.841.497.661,715959425579.0,450841497661.0
Từ các khoản cho vay và phải thu,Từ các khoản cho vay và phải thu,Từ các khoản cho vay và phải thu,710.869.164.035,519.650.863.341,710869164035.0,519650863341.0
Từ tài sản tài chính AFS,Từ tài sản tài chính AFS,Từ tài sản tài chính AFS,200.587.941.138,257.264.125.857,200587941138.0,257264125857.0
"Cổ tức, trái tức phát sinh từ tài sản tài chính AFS","Cổ tức, trái tức phát sinh từ tài sản tài chính AFS","Cổ tức, trái tức phát sinh từ tài sản tài chính AFS",28.115.694.500,30.970.589.600,28115694500.0,30970589600.0
Chênh lệch đánh giá lại theo giá trị hợp lý tài sản tài chính AFS phân loại lại khi bán và khác,Chênh lệch đánh giá lại theo giá trị hợp lý tài sản tài chính AFS phân loại lại khi bán và khác,Chênh lệch đánh giá lại theo giá trị hợp lý tài sản tài chính AFS phân loại lại khi bán và khác,172.472.246.638,226.293.536.257,172472246638.0,226293536257.0
- OPC,- OPC,- OPC,79.762.779.371,11.673.122,79762779371.0,11673122.0
- TMS,- TMS,- TMS,54.654.376.391,21.002.076.949,54654376391.0,21002076949.0
- VEA,- VEA,- VEA,25.550.400.000,49.435.600.000,25550400000.0,49435600000.0
- SGC,- SGC,- SGC,7.424.884.936,-,7424884936.0,
- VSC,- VSC,- VSC,4.463.974.568,21.138.434.758,4463974568.0,21138434758.0
- Khác,- Khác,- Khác,615.831.372,134.705.751.428,615831372.0,134705751428.0
Tổng cộng,Tổng cộng,Tổng cộng,1.715.770.782.814,1.274.191.925.435,1715770782814.0,1274191925435.0
