row_label_raw,row_label_full,col_0,Lãi suất vay %/năm,Số đầu năm VND,Số vay trong năm VND,Số đã trả trong năm VND,Số cuối năm VND,numeric__Lãi suất vay %/năm,numeric__Số đầu năm VND,numeric__Số vay trong năm VND,numeric__Số đã trả trong năm VND,numeric__Số cuối năm VND
Vay thâu chi,Vay thâu chi,Vay thâu chi,"0,8 – 7",1.933.357.663.684,58.018.568.772.543,56.223.471.682.361,3.728.454.753.866,,1933357663684.0,58018568772543.0,56223471682361.0,3728454753866.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,"1,75 – 8,5",6.570.530.000.000,26.724.828.000.000,25.830.654.000.000,7.464.704.000.000,,6570530000000.0,26724828000000.0,25830654000000.0,7464704000000.0
- Ngân hàng TMCP Ngoại Thương Việt Nam,- Ngân hàng TMCP Ngoại Thương Việt Nam,- Ngân hàng TMCP Ngoại Thương Việt Nam,,3.099.000.000.000,11.335.000.000.000,11.734.000.000.000,2.700.000.000.000,,3099000000000.0,11335000000000.0,11734000000000.0,2700000000000.0
- Ngân hàng TMCP Quốc tế Việt Nam,- Ngân hàng TMCP Quốc tế Việt Nam,- Ngân hàng TMCP Quốc tế Việt Nam,,290.000.000.000,-,290.000.000.000,-,,290000000000.0,,290000000000.0,
- Ngân hàng Sinopac - Hồng Kông (1),- Ngân hàng Sinopac - Hồng Kông (1),- Ngân hàng Sinopac - Hồng Kông (1),,136.530.000.000,279.828.000.000,276.654.000.000,139.704.000.000,,136530000000.0,279828000000.0,276654000000.0,139704000000.0
- Ngân hàng TNHH CTBC - Chi nhánh TP.HCM,- Ngân hàng TNHH CTBC - Chi nhánh TP.HCM,- Ngân hàng TNHH CTBC - Chi nhánh TP.HCM,,110.000.000.000,775.000.000.000,770.000.000.000,115.000.000.000,,110000000000.0,775000000000.0,770000000000.0,115000000000.0
- Ngân hàng TMCP Kỹ thương Việt Nam,- Ngân hàng TMCP Kỹ thương Việt Nam,- Ngân hàng TMCP Kỹ thương Việt Nam,,2.285.000.000.000,9.041.000.000.000,8.126.000.000.000,3.200.000.000.000,,2285000000000.0,9041000000000.0,8126000000000.0,3200000000000.0
- Ngân hàng TMCP Quốc dân,- Ngân hàng TMCP Quốc dân,- Ngân hàng TMCP Quốc dân,,200.000.000.000,-,200.000.000.000,-,,200000000000.0,,200000000000.0,
- Ngân hàng TMCP Đông Nam Á,- Ngân hàng TMCP Đông Nam Á,- Ngân hàng TMCP Đông Nam Á,,-,1.195.000.000.000,895.000.000.000,300.000.000.000,,,1195000000000.0,895000000000.0,300000000000.0
- Ngân hàng TNHH Indovina,- Ngân hàng TNHH Indovina,- Ngân hàng TNHH Indovina,,-,300.000.000.000,300.000.000.000,-,,,300000000000.0,300000000000.0,
- Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,- Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,- Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,,-,974.000.000.000,624.000.000.000,350.000.000.000,,,974000000000.0,624000000000.0,350000000000.0
- Maybank - Chi nhánh TP.HCM,- Maybank - Chi nhánh TP.HCM,- Maybank - Chi nhánh TP.HCM,,-,135.000.000.000,135.000.000.000,-,,,135000000000.0,135000000000.0,
- Shinhan Bank – Chi nhánh Hà Nội,- Shinhan Bank – Chi nhánh Hà Nội,- Shinhan Bank – Chi nhánh Hà Nội,,-,680.000.000.000,680.000.000.000,-,,,680000000000.0,680000000000.0,
- Ngân hàng TMCP Xăng dầu Petrolimex,- Ngân hàng TMCP Xăng dầu Petrolimex,- Ngân hàng TMCP Xăng dầu Petrolimex,,450.000.000.000,1.800.000.000.000,1.800.000.000.000,450.000.000.000,,450000000000.0,1800000000000.0,1800000000000.0,450000000000.0
- CTCP Bất động sản Hướng Việt (2),- CTCP Bất động sản Hướng Việt (2),- CTCP Bất động sản Hướng Việt (2),,-,210.000.000.000,-,210.000.000.000,,,210000000000.0,,210000000000.0
Tổng cộng,Tổng cộng,Tổng cộng,,8.503.887.663.684,84.743.396.772.543,82.054.125.682.361,11.193.158.753.866,,8503887663684.0,84743396772543.0,82054125682361.0,11193158753866.0
