row_label_raw,row_label_full,Công ty liên quan,Giao dịch,Phải thu/(phải trả),Phải thu/(phải trả)_1,Phải thu/(phải trả)_2,Phải thu/(phải trả)_3,Doanh thu/ (chi phí) VND,numeric__Giao dịch,numeric__Phải thu/(phải trả),numeric__Phải thu/(phải trả)_1,numeric__Phải thu/(phải trả)_2,numeric__Phải thu/(phải trả)_3,numeric__Doanh thu/ (chi phí) VND
Công ty liên quan,Công ty liên quan,Công ty liên quan,Giao dịch,Số đầu năm VND,Tăng trong năm VND,Giảm trong năm VND,Số cuối năm VND,Doanh thu/ (chi phí) VND,,,,,,
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty liên quan > Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Doanh thu giao dịch và dịch vụ chứng khoán khác,-,2.489.621.301,(2.489.621.301),-,2.470.618.901,,,2489621301.0,-2489621301.0,,2470618901.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty liên quan > Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Doanh thu phí hợp đồng tư vấn,200.000.000,30.765.220.000,(30.965.220.000),-,28.661.083.636,,200000000.0,30765220000.0,-30965220000.0,,28661083636.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty liên quan > Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Giao dịch mua chứng khoán,-,(100.000.000.000),100.000.000.000,-,-,,,-100000000000.0,100000000000.0,,
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty liên quan > Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Giao dịch bán chứng khoán,-,277.465.959.500,(277.465.959.500),-,131.818.124.620,,,277465959500.0,-277465959500.0,,131818124620.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty liên quan > Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Nhận cọc môi giới chứng khoán và hợp đồng quản lý tiền gửi Lãi nhận cọc và lãi hợp đồng quản lý tiền gửi phải trả,(180.000.000.000),(5.963.924.897.671),4.921.249.708.054,(1.222.675.189.617),-,,-180000000000.0,-5963924897671.0,4921249708054.0,-1222675189617.0,
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty liên quan > Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Chỉ phí mua hàng hóa,-,(51.554.838.704),48.637.588.390,(3.519.496.889),(51.554.838.704),,,-51554838704.0,48637588390.0,-3519496889.0,-51554838704.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty liên quan > Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Phải trả hộ tiền bán chứng khoán,-,(3.741.188.566),3.741.188.566,-,(3.651.086.066),,,-3741188566.0,3741188566.0,,-3651086066.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty liên quan > Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Lãi trái phiếu,-,(13.491.708.625),13.491.708.625,-,-,,,-13491708625.0,13491708625.0,,
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty liên quan > Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,,-,4.536.986.301,(4.536.986.301),-,3.286.849.314,,,4536986301.0,-4536986301.0,,3286849314.0
Công ty cổ phần Cảng Đồng Nai (PDN),Công ty liên quan > Công ty cổ phần Cảng Đồng Nai (PDN),Công ty cổ phần Cảng Đồng Nai (PDN),Cổ tức,-,3.700.726.500,(3.700.726.500),-,3.700.726.500,,,3700726500.0,-3700726500.0,,3700726500.0
Công ty TNHH MTV Nguyễn Sài Gòn,Công ty liên quan > Công ty TNHH MTV Nguyễn Sài Gòn,Công ty TNHH MTV Nguyễn Sài Gòn,Doanh thu giao dịch và dịch vụ chứng khoán khác,-,412.791.046,(412.791.046),-,412.783.846,,,412791046.0,-412791046.0,,412783846.0
Công ty TNHH MTV Nguyễn Sài Gòn,Công ty liên quan > Công ty TNHH MTV Nguyễn Sài Gòn,Công ty TNHH MTV Nguyễn Sài Gòn,Phải thu giao dịch ký quỹ,-,30.591.309.674,(30.591.309.674),-,101.285.657,,,30591309674.0,-30591309674.0,,101285657.0
Công ty TNHH MTV Nguyễn Sài Gòn,Công ty liên quan > Công ty TNHH MTV Nguyễn Sài Gòn,Công ty TNHH MTV Nguyễn Sài Gòn,Cổ tức SSI,-,(2.000),2.000,-,-,,,-2000.0,2000.0,,
Công ty TNHH Bất động sản Sài Gòn Đan Linh,Công ty liên quan > Công ty TNHH Bất động sản Sài Gòn Đan Linh,Công ty TNHH Bất động sản Sài Gòn Đan Linh,Doanh thu giao dịch và dịch vụ chứng khoán khác,-,190.345.677,(190.345.677),-,190.341.677,,,190345677.0,-190345677.0,,190341677.0
Công ty TNHH Bất động sản Sài Gòn Đan Linh,Công ty liên quan > Công ty TNHH Bất động sản Sài Gòn Đan Linh,Công ty TNHH Bất động sản Sài Gòn Đan Linh,Cổ tức SSI,-,(30.154.063.000),30.154.063.000,-,-,,,-30154063000.0,30154063000.0,,
Đối tượng liên quan khác,Công ty liên quan > Đối tượng liên quan khác,Đối tượng liên quan khác,Mua trái phiếu SSI,(60.000.000.000),-,-,(60.000.000.000),-,,-60000000000.0,,,-60000000000.0,
