row_label_raw,row_label_full,Số dư đầu năm,Vốn góp của chủ sở hữu VND > 5.000.636.840.000,Thặng dư vốn cổ phần VND > 29.482.756.034,Quyền chơn chuyển đổi trái phiếu – Cầu phần vốn VND > -,Cổ phiếu quỹ VND > (2.240.614.834),Chênh lệch đánh giá lại tài sản theo giá trị hợp lý VND > 574.216.049.874,Quỹ dự trữ bổ sung vốn điều lệ VND > 352.412.398.796,Quỹ dự phòng tài chính và rủi ro nghiệp vụ VND > 267.904.804.112,Lợi nhuận chưa phân phối VND > 1.929.437.636.808,Tổng cộng VND > 8.151.849.870.790,numeric__Vốn góp của chủ sở hữu VND > 5.000.636.840.000,numeric__Thặng dư vốn cổ phần VND > 29.482.756.034,numeric__Quyền chơn chuyển đổi trái phiếu – Cầu phần vốn VND > -,numeric__Cổ phiếu quỹ VND > (2.240.614.834),numeric__Chênh lệch đánh giá lại tài sản theo giá trị hợp lý VND > 574.216.049.874,numeric__Quỹ dự trữ bổ sung vốn điều lệ VND > 352.412.398.796,numeric__Quỹ dự phòng tài chính và rủi ro nghiệp vụ VND > 267.904.804.112,numeric__Lợi nhuận chưa phân phối VND > 1.929.437.636.808,numeric__Tổng cộng VND > 8.151.849.870.790
Lợi nhuận sau thuế Phát hành cổ phiếu tăng vốn theo Nghị quyết ĐHĐCD,Lợi nhuận sau thuế Phát hành cổ phiếu tăng vốn theo Nghị quyết ĐHĐCD,Lợi nhuận sau thuế Phát hành cổ phiếu tăng vốn theo Nghị quyết ĐHĐCD,-,-,-,-,-,-,-,1.420.827.437.748,1.420.827.437.748,,,,,,,,1420827437748.0,1420827437748.0
Lợi nhuận sau thuế Phát hành cổ phiếu tăng vốn theo Nghị quyết ĐHĐCD,Lợi nhuận sau thuế Phát hành cổ phiếu tăng vốn theo Nghị quyết ĐHĐCD,Lợi nhuận sau thuế Phát hành cổ phiếu tăng vốn theo Nghị quyết ĐHĐCD,100.000.000.000,-,-,-,-,-,-,-,100.000.000.000,100000000000.0,,,,,,,,100000000000.0
Phát hành trái phiếu chuyển đổi theo Nghị quyết ĐHĐCD,Phát hành trái phiếu chuyển đổi theo Nghị quyết ĐHĐCD,Phát hành trái phiếu chuyển đổi theo Nghị quyết ĐHĐCD,-,-,113.779.095.785,-,-,-,-,-,113.779.095.785,,,113779095785.0,,,,,,113779095785.0
Cổ tức bằng tiền năm 2017,Cổ tức bằng tiền năm 2017,Cổ tức bằng tiền năm 2017,-,-,-,-,-,-,-,(499.170.330.000),(499.170.330.000),,,,,,,,-499170330000.0,-499170330000.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,-,-,124.000.000,124.000.000,,,,,,,,124000000.0,124000000.0
Mua cổ phiếu quỹ Chi phí phát sinh khi tăng vốn,Mua cổ phiếu quỹ Chi phí phát sinh khi tăng vốn,Mua cổ phiếu quỹ Chi phí phát sinh khi tăng vốn,-,-,-,(6.493.124.050),-,-,-,-,(6.493.124.050),,,,-6493124050.0,,,,,-6493124050.0
Mua cổ phiếu quỹ Chi phí phát sinh khi tăng vốn,Mua cổ phiếu quỹ Chi phí phát sinh khi tăng vốn,Mua cổ phiếu quỹ Chi phí phát sinh khi tăng vốn,-,(12.000.000),-,-,-,-,-,-,(12.000.000),,-12000000.0,,,,,,,-12000000.0
Đánh giá lại tài sản tài chính AFS Trích quỹ dự trữ bổ sung vốn điều lệ 5% LNST theo,Đánh giá lại tài sản tài chính AFS Trích quỹ dự trữ bổ sung vốn điều lệ 5% LNST theo,Đánh giá lại tài sản tài chính AFS Trích quỹ dự trữ bổ sung vốn điều lệ 5% LNST theo,-,-,-,-,(338.088.925.736),-,-,-,(338.088.925.736),,,,,-338088925736.0,,,,-338088925736.0
Nghị Quyết ĐHĐCD,Nghị Quyết ĐHĐCD,Nghị Quyết ĐHĐCD,-,-,-,-,-,56.644.766.511,-,(56.644.766.511),-,,,,,,56644766511.0,,-56644766511.0,
Trích quỹ dự phòng tài chính và rủi ro nghiệp vụ 5% LNST theo,Trích quỹ dự phòng tài chính và rủi ro nghiệp vụ 5% LNST theo,Trích quỹ dự phòng tài chính và rủi ro nghiệp vụ 5% LNST theo,,,,,,,,,,,,,,,,,,
Nghị Quyết ĐHĐCD,Trích quỹ dự phòng tài chính và rủi ro nghiệp vụ 5% LNST theo > Nghị Quyết ĐHĐCD,Nghị Quyết ĐHĐCD,-,-,-,-,-,-,56.644.766.511,(56.644.766.511),-,,,,,,,56644766511.0,-56644766511.0,
"Trích quỹ từ thiện, quỹ phúc lợi và khen thưởng theo","Trích quỹ từ thiện, quỹ phúc lợi và khen thưởng theo","Trích quỹ từ thiện, quỹ phúc lợi và khen thưởng theo",,,,,,,,,,,,,,,,,,
Nghị Quyết ĐHĐCD,"Trích quỹ từ thiện, quỹ phúc lợi và khen thưởng theo > Nghị Quyết ĐHĐCD",Nghị Quyết ĐHĐCD,-,-,-,-,-,-,-,(79.302.673.115),(79.302.673.115),,,,,,,,-79302673115.0,-79302673115.0
Số dư cuối năm,"Trích quỹ từ thiện, quỹ phúc lợi và khen thưởng theo > Số dư cuối năm",Số dư cuối năm,5.100.636.840.000,29.470.756.034,113.779.095.785,(8.733.738.884),236.127.124.138,409.057.165.307,324.549.570.623,2.658.626.538.419,8.863.513.351.422,5100636840000.0,29470756034.0,113779095785.0,-8733738884.0,236127124138.0,409057165307.0,324549570623.0,2658626538419.0,8863513351422.0
