row_label_raw,row_label_full,Mã số,CHÍ TIÊU,Thuyết minh,Năm nay VND,Năm trước VND,numeric__CHÍ TIÊU,numeric__Thuyết minh,numeric__Năm nay VND,numeric__Năm trước VND
,,,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,,,,
01,01,01,Lợi nhuận trước thuế TNDN,,1.737.727.231.591,1.278.243.262.618,,,1737727231591.0,1278243262618.0
02,02,02,Điều chỉnh cho các khoản:Khẩu hao TSCĐ,,(1.128.474.810.498),(701.020.207.292),,,-1128474810498.0,-701020207292.0
03,03,03,Điều chỉnh cho các khoản:Khẩu hao TSCĐ,,22.347.113.464,11.480.281.614,,,22347113464.0,11480281614.0
04,04,04,Các khoản dự phòng/(hoàn nhập)(Lãi)/lỗ chênh lệch tỷ giá hồi đoái chưa thực hiện,,32.917.256.564,(620.599.691),,,32917256564.0,-620599691.0
05,05,05,Các khoản dự phòng/(hoàn nhập)(Lãi)/lỗ chênh lệch tỷ giá hồi đoái chưa thực hiện,,(50.401.135),173.396.382,,,-50401135.0,173396382.0
06,06,06,Chi phí lãi vay,,536.868.896.600,343.901.229.535,,,536868896600.0,343901229535.0
07,07,07,Lãi từ hoạt động đầu tư,,(893.218.565.394),(458.452.123.615),,,-893218565394.0,-458452123615.0
08,08,08,Dự thu tiền lãi,,(827.339.110.597),(597.056.891.517),,,-827339110597.0,-597056891517.0
09,09,09,Các khoản điều chỉnh khác,,-,(445.500.000),,,,-445500000.0
10,10,10,Tăng các chi phí phi tiền tệ,,513.736.270.786,323.898.791.622,,,513736270786.0,323898791622.0
11,11,11,Lỗ đánh giá lại giá trị các tài sản tài chính FVTPL,,506.167.171.119,327.790.083.420,,,506167171119.0,327790083420.0
13,13,13,Lỗ/(hoàn nhập) suy giảm giá trị các khoản cho vay,,6.594.554.707,(5.359.427.433),,,6594554707.0,-5359427433.0
14,14,14,Lỗ về ghi nhận chênh lệch đánh giá theo giá trị hợp lý tài sản tài chính AFS khi phân loại lại,,974.544.960,1.468.135.635,,,974544960.0,1468135635.0
18,18,18,Giảm các doanh thu phi tiền tệ,,(420.713.361.546),(588.944.478.061),,,-420713361546.0,-588944478061.0
19,19,19,Lãi đánh giá lại giá trị các tài sản tài chính FVTPL,,(248.241.114.908),(362.650.941.804),,,-248241114908.0,-362650941804.0
20,20,20,Lãi về ghi nhận chênh lệch đánh giá theo giá trị hợp lý tài sản tài chính AFS khi phân loại lại,,(172.472.246.638),(226.293.536.257),,,-172472246638.0,-226293536257.0
30,30,30,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,702.275.330.333,312.177.368.887,,,702275330333.0,312177368887.0
31,31,31,(Tăng)/giảm tài sản tài chính FVTPL,,(333.279.134.920),379.032.638.757,,,-333279134920.0,379032638757.0
32,32,32,Tăng các khoản đầu tư HTM,,(4.069.435.020.668),(491.171.360.987),,,-4069435020668.0,-491171360987.0
33,33,33,Tăng các khoản cho vay,,(202.578.855.841),(1.984.894.287.302),,,-202578855841.0,-1984894287302.0
34,34,34,(Tăng)/giảm tài sản tài chính AFS,,(444.846.980.940),226.707.855.613,,,-444846980940.0,226707855613.0
35,35,35,Giảm phải thu bán các tài sản tài chính,,15.429.702.300,26.807.894.500,,,15429702300.0,26807894500.0
37,37,37,Giảm/(tăng) phải thu các dịch vụ CTCK cung cấp,,23.541.659.364,(27.439.344.861),,,23541659364.0,-27439344861.0
39,39,39,Giảm/(tăng) các khoản phải thu khác,,21.377.031.731,(26.177.045.979),,,21377031731.0,-26177045979.0
40,40,40,Giảm/(tăng) các tài sản khác,,80.878.574.476,(49.184.661.415),,,80878574476.0,-49184661415.0
41,41,41,(Giảm)/tăng chi phí phải trả (không bao gồm chi phí lãi vay),,(16.020.831.120),9.989.955.599,,,-16020831120.0,9989955599.0
42,42,42,Tăng chi phí trả trước,,(17.045.404.265),(10.048.029.253),,,-17045404265.0,-10048029253.0
43,43,43,Thuế TNDN đã nộp,,(348.754.770.644),(172.767.207.588),,,-348754770644.0,-172767207588.0
44,44,44,Lãi vay đã trả,,(469.660.001.949),(321.966.912.179),,,-469660001949.0,-321966912179.0
45,45,45,Giảm phải trả cho người bán,,(1.104.419.872),(39.736.908),,,-1104419872.0,-39736908.0
46,46,46,Tăng/(giảm) các khoản trích nộp phúc lợi nhân viên,,52.320.600,(746.200),,,52320600.0,-746200.0
47,47,47,(Giảm)/tăng thuế và các khoản phải nộp Nhà nước,,(18.127.984.607),25.051.917.098,,,-18127984607.0,25051917098.0
48,48,48,Tăng phải trả người lao động,,3.725.731.954,34.361.805.093,,,3725731954.0,34361805093.0
50,50,50,"Tăng phải trả, phải nộp khác",,1.354.140.836.250,(150.964.526.950),,,1354140836250.0,-150964526950.0
51,51,51,Tiền thu khác từ hoạt động kinh doanh,,827.998.516.515,596.143.433.217,,,827998516515.0,596143433217.0
,,,- Tiến lãi đã thu,,827.731.132.515,596.026.691.517,,,827731132515.0,596026691517.0
,,,- Tiến thu khác,,267.384.000,116.741.700,,,267384000.0,116741700.0
52,52,52,Tiền chi khác từ hoạt động kinh doanh,,(52.682.435.390),(28.447.874.665),,,-52682435390.0,-28447874665.0
60,60,60,Lưu chuyển tiền thuần sử dụng vào hoạt động kinh doanh,,(2.944.116.136.693),(1.652.828.865.523),,,-2944116136693.0,-1652828865523.0
