row_label_raw,row_label_full,col_0,Giá trịphải thu khó đòicuối nămVND,Số dự phòngđầu nămVND,Số trích lậptrong nămVND,Số hoàn nhậptrong nămVND,Số dự phòngcuối nămVND,Giá trịphải thu khó đòiđầu nămVND,numeric__Giá trịphải thu khó đòicuối nămVND,numeric__Số dự phòngđầu nămVND,numeric__Số trích lậptrong nămVND,numeric__Số hoàn nhậptrong nămVND,numeric__Số dự phòngcuối nămVND,numeric__Giá trịphải thu khó đòiđầu nămVND
Dự phòng phải thu bán các tài sản tài chính khó đòi,Dự phòng phải thu bán các tài sản tài chính khó đòi,Dự phòng phải thu bán các tài sản tài chính khó đòi,299.429.263.720,2.531.847.570,296.897.416.150,-,299.429.263.720,2.531.847.570,299429263720.0,2531847570.0,296897416150.0,,299429263720.0,2531847570.0
- Khách hàng Đăng Văn Sỹ,- Khách hàng Đăng Văn Sỹ,- Khách hàng Đăng Văn Sỹ,2.531.847.570,2.531.847.570,-,-,2.531.847.570,2.531.847.570,2531847570.0,2531847570.0,,,2531847570.0,2531847570.0
- Công ty TNHH TMXD Phúc Bảo Minh (1),- Công ty TNHH TMXD Phúc Bảo Minh (1),- Công ty TNHH TMXD Phúc Bảo Minh (1),296.897.416.150,-,296.897.416.150,-,296.897.416.150,-,296897416150.0,,296897416150.0,,296897416150.0,
Phải thu các dịch vụ công ty chứng khoán cung cấpkhó đòi,Phải thu các dịch vụ công ty chứng khoán cung cấpkhó đòi,Phải thu các dịch vụ công ty chứng khoán cung cấpkhó đòi,12.087.959.417,12.248.527.916,2.680.799,163.249.298,12.087.959.417,12.248.527.916,12087959417.0,12248527916.0,2680799.0,163249298.0,12087959417.0,12248527916.0
- CTCP Công nghệ mới Kim Tự Tháp Việt Nam,- CTCP Công nghệ mới Kim Tự Tháp Việt Nam,- CTCP Công nghệ mới Kim Tự Tháp Việt Nam,525.000.000,525.000.000,-,-,525.000.000,525.000.000,525000000.0,525000000.0,,,525000000.0,525000000.0
- CTCP Thái Hòa,- CTCP Thái Hòa,- CTCP Thái Hòa,80.000.000,80.000.000,-,-,80.000.000,80.000.000,80000000.0,80000000.0,,,80000000.0,80000000.0
- Công ty Liên doanh Dược phẩm Éloge FranceViệt Nam,- Công ty Liên doanh Dược phẩm Éloge FranceViệt Nam,- Công ty Liên doanh Dược phẩm Éloge FranceViệt Nam,80.000.000,80.000.000,-,-,80.000.000,80.000.000,80000000.0,80000000.0,,,80000000.0,80000000.0
- CTCP Hàng hải Sài Gòn,- CTCP Hàng hải Sài Gòn,- CTCP Hàng hải Sài Gòn,270.000.000,270.000.000,-,-,270.000.000,270.000.000,270000000.0,270000000.0,,,270000000.0,270000000.0
- Tổng CTCP Xây dựng điện Việt Nam (Vneco),- Tổng CTCP Xây dựng điện Việt Nam (Vneco),- Tổng CTCP Xây dựng điện Việt Nam (Vneco),150.000.000,150.000.000,-,-,150.000.000,150.000.000,150000000.0,150000000.0,,,150000000.0,150000000.0
- Phải thu giao dịch ký quỹ quá hạn - khách hàngcá nhân,- Phải thu giao dịch ký quỹ quá hạn - khách hàngcá nhân,- Phải thu giao dịch ký quỹ quá hạn - khách hàngcá nhân,10.982.959.417,11.143.527.916,2.680.799,163.249.298,10.982.959.417,11.143.527.916,10982959417.0,11143527916.0,2680799.0,163249298.0,10982959417.0,11143527916.0
Phải thu khác khó đòi,Phải thu khác khó đòi,Phải thu khác khó đòi,521.517.477,521.517.477,-,-,521.517.477,521.517.477,521517477.0,521517477.0,,,521517477.0,521517477.0
- Tiền bán tài sản,- Tiền bán tài sản,- Tiền bán tài sản,309.521.422,309.521.422,-,-,309.521.422,309.521.422,309521422.0,309521422.0,,,309521422.0,309521422.0
- Phải thu CTCP Công nghệ mới Kim Tự ThápViệt Nam,- Phải thu CTCP Công nghệ mới Kim Tự ThápViệt Nam,- Phải thu CTCP Công nghệ mới Kim Tự ThápViệt Nam,133.000.000,133.000.000,-,-,133.000.000,133.000.000,133000000.0,133000000.0,,,133000000.0,133000000.0
- Phải thu khác,- Phải thu khác,- Phải thu khác,78.996.055,78.996.055,-,-,78.996.055,78.996.055,78996055.0,78996055.0,,,78996055.0,78996055.0
Tổng cộng,Tổng cộng,Tổng cộng,312.038.740.614,15.301.892.963,296.900.096.949,163.249.298,312.038.740.614,15.301.892.963,312038740614.0,15301892963.0,296900096949.0,163249298.0,312038740614.0,15301892963.0
