row_label_raw,row_label_full,CHÍ TIÊU,Thuyết minh,Số dư đầu năm > Ngày 01/01/2017 > VND,Số dư đầu năm > Ngày 01/01/2018 > VND,Số tăng/giảm > Năm trước > Tăng > VND,Số tăng/giảm > Năm trước > Giảm > VND,Số tăng/giảm > Năm nay > Tăng > VND,Số tăng/giảm > Năm nay > Giảm > VND,Số dư cuối năm > Ngày 31/12/2017 > VND,Số dư cuối năm > Ngày 31/12/2018 > VND,numeric__Thuyết minh,numeric__Số dư đầu năm > Ngày 01/01/2017 > VND,numeric__Số dư đầu năm > Ngày 01/01/2018 > VND,numeric__Số tăng/giảm > Năm trước > Tăng > VND,numeric__Số tăng/giảm > Năm trước > Giảm > VND,numeric__Số tăng/giảm > Năm nay > Tăng > VND,numeric__Số tăng/giảm > Năm nay > Giảm > VND,numeric__Số dư cuối năm > Ngày 31/12/2017 > VND,numeric__Số dư cuối năm > Ngày 31/12/2018 > VND
A,A,A,B,1,2,3,4,5,6,7,8,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
I. BIÊN ĐÔNG VỐN CHỦ SỞ HỦU,I. BIÊN ĐÔNG VỐN CHỦ SỞ HỦU,I. BIÊN ĐÔNG VỐN CHỦ SỞ HỦU,,,,,,,,,,,,,,,,,,
1. Vốn đầu tư của chủ sở hữu,I. BIÊN ĐÔNG VỐN CHỦ SỞ HỦU > 1. Vốn đầu tư của chủ sở hữu,1. Vốn đầu tư của chủ sở hữu,,4.927.409.917.200,5.027.878.981.200,100.290.896.034,178.167.966,207.285.971.735,(12.000.000),5.027.878.981.200,5.235.152.952.935,,4927409917200.0,5027878981200.0,100290896034.0,178167966.0,207285971735.0,-12000000.0,5027878981200.0,5235152952935.0
1.1.Cố phiếu phố thông,I. BIÊN ĐÔNG VỐN CHỦ SỞ HỦU > 1.1.Cố phiếu phố thông,1.1.Cố phiếu phố thông,,4.900.636.840.000,5.000.636.840.000,100.000.000.000,-,100.000.000.000,-,5.000.636.840.000,5.100.636.840.000,,4900636840000.0,5000636840000.0,100000000000.0,,100000000000.0,,5000636840000.0,5100636840000.0
1.2.Thặng dư vốn cố phân,I. BIÊN ĐÔNG VỐN CHỦ SỞ HỦU > 1.2.Thặng dư vốn cố phân,1.2.Thặng dư vốn cố phân,,29.265.860.000,29.482.756.034,290.896.034,(74.000.000),-,(12.000.000),29.482.756.034,29.470.756.034,,29265860000.0,29482756034.0,290896034.0,-74000000.0,,-12000000.0,29482756034.0,29470756034.0
1.3.Quyền chọn chuyển đối trái phiếu – Cấu phần vốn,I. BIÊN ĐÔNG VỐN CHỦ SỞ HỦU > 1.3.Quyền chọn chuyển đối trái phiếu – Cấu phần vốn,1.3.Quyền chọn chuyển đối trái phiếu – Cấu phần vốn,,-,-,-,-,113.779.095.785,-,-,113.779.095.785,,,,,,113779095785.0,,,113779095785.0
1.4.Cố phiếu quỹ,I. BIÊN ĐÔNG VỐN CHỦ SỞ HỦU > 1.4.Cố phiếu quỹ,1.4.Cố phiếu quỹ,,(2.492.782.800),(2.240.614.834),-,252.167.966,(6.493.124.050),-,(2.240.614.834),(8.733.738.884),,-2492782800.0,-2240614834.0,,252167966.0,-6493124050.0,,-2240614834.0,-8733738884.0
2. Quỹ dự trữ bổ sung vốn điều lệ,I. BIÊN ĐÔNG VỐN CHỦ SỞ HỦU > 2. Quỹ dự trữ bổ sung vốn điều lệ,2. Quỹ dự trữ bổ sung vốn điều lệ,,308.560.605.893,352.412.398.796,43.851.792.903,-,56.644.766.511,-,352.412.398.796,409.057.165.307,,308560605893.0,352412398796.0,43851792903.0,,56644766511.0,,352412398796.0,409057165307.0
3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,I. BIÊN ĐÔNG VỐN CHỦ SỞ HỦU > 3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,,224.053.011.209,267.904.804.112,43.851.792.903,-,56.644.766.511,-,267.904.804.112,324.549.570.623,,224053011209.0,267904804112.0,43851792903.0,,56644766511.0,,267904804112.0,324549570623.0
4. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,I. BIÊN ĐÔNG VỐN CHỦ SỞ HỦU > 4. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,4. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,,598.524.068.082,574.216.049.874,572.211.540.410,(596.519.558.618),33.917.507.032,(372.006.432.768),574.216.049.874,236.127.124.138,,598524068082.0,574216049874.0,572211540410.0,-596519558618.0,33917507032.0,-372006432768.0,574216049874.0,236127124138.0
