row_label_raw,row_label_full,Công ty liên quan,Giao dịch,Phải thu/(phải trả),Phải thu/(phải trả)_1,Phải thu/(phải trả)_2,Phải thu/(phải trả)_3,Doanh thu/ (chi phí) VND,numeric__Giao dịch,numeric__Phải thu/(phải trả),numeric__Phải thu/(phải trả)_1,numeric__Phải thu/(phải trả)_2,numeric__Phải thu/(phải trả)_3,numeric__Doanh thu/ (chi phí) VND
Công ty liên quan,Công ty liên quan,Công ty liên quan,Giao dịch,Số đầu năm VND,Tăng trong năm VND,Giảm trong năm VND,Số cuối năm VND,Doanh thu/ (chi phí) VND,,,,,,
Quỹ đầu tư thành viên SSI,Công ty liên quan > Quỹ đầu tư thành viên SSI,Quỹ đầu tư thành viên SSI,Góp vốn đầu tư,312.000.000.000,-,(37.600.000.000),274.400.000.000,-,,312000000000.0,,-37600000000.0,274400000000.0,
Quỹ đầu tư thành viên SSI,Công ty liên quan > Quỹ đầu tư thành viên SSI,Quỹ đầu tư thành viên SSI,Thu hồi vốn góp,-,37.600.000.000,(37.600.000.000),-,-,,,37600000000.0,-37600000000.0,,
Quỹ đầu tư thành viên SSI,Công ty liên quan > Quỹ đầu tư thành viên SSI,Quỹ đầu tư thành viên SSI,Doanh thu giao dịch và dịch vụ chứng khoán khác,-,3.036.749,(3.036.749),-,3.036.749,,,3036749.0,-3036749.0,,3036749.0
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),Góp vốn đầu tư,30.000.000.000,-,-,30.000.000.000,-,,30000000000.0,,,30000000000.0,
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),Doanh thu giao dịch và dịch vụ chứng khoán khác,-,9.999.279.371,(9.914.011.578),85.267.793,9.800.502.476,,,9999279371.0,-9914011578.0,85267793.0,9800502476.0
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),Số dư danh mục ủy thác đầu tư,888.749.948.379,54.129.045.829,(746.727.483.028),196.151.511.180,-,,888749948379.0,54129045829.0,-746727483028.0,196151511180.0,
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),Các khoản phải trả quỹ phúc lợi và khác,(413.000.000),(3.508.999.600),3.806.999.600,(115.000.000),-,,-413000000.0,-3508999600.0,3806999600.0,-115000000.0,
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),Chi phí quản lý danh mục,(3.125.755.884),(5.491.696.147),8.120.842.068,(496.609.963),(5.491.696.147),,-3125755884.0,-5491696147.0,8120842068.0,-496609963.0,-5491696147.0
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),Chi phí tư vấn đầu tư chứng khoán,(4.663.613.316),(4.260.000.000),8.923.613.316,-,(4.260.000.000),,-4663613316.0,-4260000000.0,8923613316.0,,-4260000000.0
