row_label_raw,row_label_full,col_0,Số cuối năm(cổ phiếu),Số đầu năm(cổ phiếu),numeric__Số cuối năm(cổ phiếu),numeric__Số đầu năm(cổ phiếu)
Số lượng cổ phiếu được phép phát hành,Số lượng cổ phiếu được phép phát hành,Số lượng cổ phiếu được phép phát hành,510.063.684,500.063.684,510063684.0,500063684.0
Số lượng cổ phiếu đã phát hành,Số lượng cổ phiếu đã phát hành,Số lượng cổ phiếu đã phát hành,510.063.684,500.063.684,510063684.0,500063684.0
Số lượng cổ phiếu đã phát hành và được gópvốn đầy đủ,Số lượng cổ phiếu đã phát hành và được gópvốn đầy đủ,Số lượng cổ phiếu đã phát hành và được gópvốn đầy đủ,510.063.684,500.063.684,510063684.0,500063684.0
- Cổ phiếu phổ thông,- Cổ phiếu phổ thông,- Cổ phiếu phổ thông,510.063.684,500.063.684,510063684.0,500063684.0
- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,-,-,,
Số lượng cổ phiếu quỹ,- Cổ phiếu ưu đãi > Số lượng cổ phiếu quỹ,Số lượng cổ phiếu quỹ,(893.377),(214.314),-893377.0,-214314.0
Cổ phiếu quỹ do Công ty nấm giữ,- Cổ phiếu ưu đãi > Cổ phiếu quỹ do Công ty nấm giữ,Cổ phiếu quỹ do Công ty nấm giữ,(893.377),(214.314),-893377.0,-214314.0
- Cổ phiếu phổ thông,- Cổ phiếu ưu đãi > - Cổ phiếu phổ thông,- Cổ phiếu phổ thông,(893.377),(214.314),-893377.0,-214314.0
- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,-,-,,
Số lượng cổ phiếu đang lưu hành,- Cổ phiếu ưu đãi > Số lượng cổ phiếu đang lưu hành,Số lượng cổ phiếu đang lưu hành,509.170.307,499.849.370,509170307.0,499849370.0
- Cổ phiếu phổ thông,- Cổ phiếu ưu đãi > - Cổ phiếu phổ thông,- Cổ phiếu phổ thông,509.170.307,499.849.370,509170307.0,499849370.0
- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,-,-,,
