row_label_raw,row_label_full,col_0,Miền BắcTriệu đồng,Miền TrungTriệu đồng,Miền NamTriệu đồng,Tổng bộ phandida báo cáoTriệu đồng,Loại trừTriệu đồng,Tổng cộngTriệu đồng,numeric__Miền BắcTriệu đồng,numeric__Miền TrungTriệu đồng,numeric__Miền NamTriệu đồng,numeric__Tổng bộ phandida báo cáoTriệu đồng,numeric__Loại trừTriệu đồng,numeric__Tổng cộngTriệu đồng
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,6.842.220(4.938.801),6.348.500(3.921.562),31.943.266(25.235.426),45.133.986(34.095.789),(12.292.416)12.292.416,32.841.570(21.803.373),,,,,,
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,6.842.220(4.938.801),6.348.500(3.921.562),31.943.266(25.235.426),45.133.986(34.095.789),(12.292.416)12.292.416,32.841.570(21.803.373),,,,,,
Thu nhập lãi thuần,Chi phí lãi và các chi phí tương tự > Thu nhập lãi thuần,Thu nhập lãi thuần,1.903.419,2.426.938,6.707.840,11.038.197,-,11.038.197,1903419.0,2426938.0,6707840.0,11038197.0,,11038197.0
Các khoản thu nhập ngoài lãi,Chi phí lãi và các chi phí tương tự > Các khoản thu nhập ngoài lãi,Các khoản thu nhập ngoài lãi,284.090,231.752,4.988.847,5.504.689,-,5.504.689,284090.0,231752.0,4988847.0,5504689.0,,5504689.0
TỔNG THU NHẬP HOẠT ĐỘNG,Chi phí lãi và các chi phí tương tự > TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,2.187.509,2.658.690,11.696.687,16.542.886,-,16.542.886,2187509.0,2658690.0,11696687.0,16542886.0,,16542886.0
TỔNG CHI PHÍ HOẠT ĐỘNG,Chi phí lãi và các chi phí tương tự > TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,(915.025),(788.042),(8.892.614),(10.595.681),-,(10.595.681),-915025.0,-788042.0,-8892614.0,-10595681.0,,-10595681.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Chi phí lãi và các chi phí tương tự > Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,1.272.484,1.870.648,2.804.073,5.947.205,-,5.947.205,1272484.0,1870648.0,2804073.0,5947205.0,,5947205.0
Chi phí dự phòng rủi ro tín dụng,Chi phí lãi và các chi phí tương tự > Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,-,-,(2.915.319),(2.915.319),-,(2.915.319),,,-2915319.0,-2915319.0,,-2915319.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,Chi phí lãi và các chi phí tương tự > TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,1.272.484,1.870.648,(111.246),3.031.886,-,3.031.886,1272484.0,1870648.0,-111246.0,3031886.0,,3031886.0
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,
