row_label_raw,row_label_full,col_0,Dự phòngcụ thểTriệu đồng,Dự phòngchungTriệu đồng,Tổng cộngTriệu đồng,numeric__Dự phòngcụ thểTriệu đồng,numeric__Dự phòngchungTriệu đồng,numeric__Tổng cộngTriệu đồng
Ngày 1 tháng 1 năm 2020,Ngày 1 tháng 1 năm 2020,Ngày 1 tháng 1 năm 2020,1.319.823,2.093.789,3.413.612,1319823.0,2093789.0,3413612.0
Số trích lập dự phòng trong năm,Số trích lập dự phòng trong năm,Số trích lập dự phòng trong năm,1.365.233,244.565,1.609.798,1365233.0,244565.0,1609798.0
Số dự phòng đã sử dụng để xử lý rủi rotrong năm,Số dự phòng đã sử dụng để xử lý rủi rotrong năm,Số dự phòng đã sử dụng để xử lý rủi rotrong năm,(282.161),-,(282.161),-282161.0,,-282161.0
Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,2.402.895,2.338.354,4.741.249,2402895.0,2338354.0,4741249.0
