row_label_raw,row_label_full,col_0,Trong nướcTriệu đồng,Nước ngoàiTriệu đồng,Tổng cộngTriệu đồng,numeric__Trong nướcTriệu đồng,numeric__Nước ngoàiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản tại ngày 31 tháng 12 năm 2020,Tài sản tại ngày 31 tháng 12 năm 2020,Tài sản tại ngày 31 tháng 12 năm 2020,Tài sản tại ngày 31 tháng 12 năm 2020,Tài sản tại ngày 31 tháng 12 năm 2020,Tài sản tại ngày 31 tháng 12 năm 2020,,,
Tiền gửi tại và cho vay các TCTD khác,Tài sản tại ngày 31 tháng 12 năm 2020 > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,15.480.912,4.511.081,19.991.993,15480912.0,4511081.0,19991993.0
Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),Tài sản tại ngày 31 tháng 12 năm 2020 > Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),31.782.639,-,31.782.639,31782639.0,,31782639.0
Cho vay khách hàng - gộp,Tài sản tại ngày 31 tháng 12 năm 2020 > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,331.550.599,-,331.550.599,331550599.0,,331550599.0
Hoat động mua nợ - gộp,Tài sản tại ngày 31 tháng 12 năm 2020 > Hoat động mua nợ - gộp,Hoat động mua nợ - gộp,303.915,-,303.915,303915.0,,303915.0
Chứng khoán đầu tư - gộp,Tài sản tại ngày 31 tháng 12 năm 2020 > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,79.549.233,-,79.549.233,79549233.0,,79549233.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản tại ngày 31 tháng 12 năm 2020 > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",1.322.764,2.463.284,3.786.048,1322764.0,2463284.0,3786048.0
Công nợ tại ngày 31 tháng 12 năm 2020,Công nợ tại ngày 31 tháng 12 năm 2020,Công nợ tại ngày 31 tháng 12 năm 2020,Công nợ tại ngày 31 tháng 12 năm 2020,Công nợ tại ngày 31 tháng 12 năm 2020,Công nợ tại ngày 31 tháng 12 năm 2020,,,
Các khoản nợ NHNN Việt Nam,Công nợ tại ngày 31 tháng 12 năm 2020 > Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,143.528,-,143.528,143528.0,,143528.0
Tiền gửi và vay các TCTD khác,Công nợ tại ngày 31 tháng 12 năm 2020 > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,7.182.819,2.369.363,9.552.182,7182819.0,2369363.0,9552182.0
Tiền gửi của khách hàng,Công nợ tại ngày 31 tháng 12 năm 2020 > Tiền gửi của khách hàng,Tiền gửi của khách hàng,420.391.872,1.425.242,421.817.114,420391872.0,1425242.0,421817114.0
Phát hành giấy tờ có giá,Công nợ tại ngày 31 tháng 12 năm 2020 > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,11.144.140,-,11.144.140,11144140.0,,11144140.0
Cam kết ngoại bảng tại ngày 31 tháng 12 năm 2020,Công nợ tại ngày 31 tháng 12 năm 2020 > Cam kết ngoại bảng tại ngày 31 tháng 12 năm 2020,Cam kết ngoại bảng tại ngày 31 tháng 12 năm 2020,74.189.327,1.139.653,75.328.980,74189327.0,1139653.0,75328980.0
