row_label_raw,row_label_full,col_0,Khách hàng cá nhânvà doanh nghiệpTriệu đồng,Đầu tưTriệu đồng,Hoạt độngliên ngân hàngTriệu đồng,Hoạt động chungkhông phân bổTriệu đồng,Tổng cộngTriệu đồng,numeric__Khách hàng cá nhânvà doanh nghiệpTriệu đồng,numeric__Đầu tưTriệu đồng,numeric__Hoạt độngliên ngân hàngTriệu đồng,numeric__Hoạt động chungkhông phân bổTriệu đồng,numeric__Tổng cộngTriệu đồng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,
Tiền mặt và vàng,TÀI SẢN > Tiền mặt và vàng,Tiền mặt và vàng,-,-,-,7.304.818,7.304.818,,,,7304818.0,7304818.0
Tiền gửi tại NHNN Việt Nam,TÀI SẢN > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,-,-,8.560.939,-,8.560.939,,,8560939.0,,8560939.0
Tiền gửi tại và cho vay các TCTD khác,TÀI SẢN > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,19.991.993,-,19.991.993,,,19991993.0,,19991993.0
Các công cụ tài chính phải sinh và các tài sảntài chính khác,TÀI SẢN > Các công cụ tài chính phải sinh và các tài sảntài chính khác,Các công cụ tài chính phải sinh và các tài sảntài chính khác,-,-,19.677,-,19.677,,,19677.0,,19677.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,326.809.350,-,-,-,326.809.350,326809350.0,,,,326809350.0
Hoạt động mua nợ,TÀI SẢN > Hoạt động mua nợ,Hoạt động mua nợ,301.515,-,-,-,301.515,301515.0,,,,301515.0
Chứng khoán đầu tư,TÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,-,75.155.549,-,-,75.155.549,,75155549.0,,,75155549.0
"Góp vốn, đầu tư dài hạn","TÀI SẢN > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,3.123.819,-,-,3.123.819,,3123819.0,,,3123819.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,-,-,-,8.186.095,8.186.095,,,,8186095.0,8186095.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,30.354.247,1.925.589,25.811,4.761.020,37.066.667,30354247.0,1925589.0,25811.0,4761020.0,37066667.0
TỔNG TÀI SẢN,TÀI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,357.465.112,80.204.957,28.598.420,20.251.933,486.520.422,357465112.0,80204957.0,28598420.0,20251933.0,486520422.0
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,,,
Các khoản nợ NHNN Việt Nam,NỘ PHẢI TRẢ > Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,-,-,143.528,-,143.528,,,143528.0,,143528.0
Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,9.552.182,-,9.552.182,,,9552182.0,,9552182.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,421.817.114,-,-,-,421.817.114,421817114.0,,,,421817114.0
Phát hành giấy tờ có giá,NỘ PHẢI TRẢ > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,11.144.140,-,-,-,11.144.140,11144140.0,,,,11144140.0
Các khoản nợ khác,NỘ PHẢI TRẢ > Các khoản nợ khác,Các khoản nợ khác,12.262.366,-,736.308,2.637.370,15.636.044,12262366.0,,736308.0,2637370.0,15636044.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,445.223.620,-,10.432.018,2.637.370,458.293.008,445223620.0,,10432018.0,2637370.0,458293008.0
