row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận chuyểnTriệu đồng,KhácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận chuyểnTriệu đồng,numeric__KhácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,3.733.347,2.180.439,657.831,268.810,6.840.427,3733347.0,2180439.0,657831.0,268810.0,6840427.0
Tăng do mua mới và nâng cấp,Nguyên giá > Tăng do mua mới và nâng cấp,Tăng do mua mới và nâng cấp,3.556,89.179,40.425,26.783,159.943,3556.0,89179.0,40425.0,26783.0,159943.0
Kết chuyển từ đầu tư xây dựng cơ bản vàmua sắm tài sản cố định,Nguyên giá > Kết chuyển từ đầu tư xây dựng cơ bản vàmua sắm tài sản cố định,Kết chuyển từ đầu tư xây dựng cơ bản vàmua sắm tài sản cố định,229.114,183.373,17.093,19.200,448.780,229114.0,183373.0,17093.0,19200.0,448780.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(196.064),(35.136),(18.874),(9.236),(259.310),-196064.0,-35136.0,-18874.0,-9236.0,-259310.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,(29),-,-,(29),,-29.0,,,-29.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,3.769.953,2.417.826,696.475,305.557,7.189.811,3769953.0,2417826.0,696475.0,305557.0,7189811.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,769.001,1.260.324,305.573,104.321,2.439.219,769001.0,1260324.0,305573.0,104321.0,2439219.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,92.589,184.285,63.061,24.853,364.788,92589.0,184285.0,63061.0,24853.0,364788.0
Trích từ Quỹ Phát triển Khoa học và Công nghệ,Giá trị khấu hao lũy kế > Trích từ Quỹ Phát triển Khoa học và Công nghệ,Trích từ Quỹ Phát triển Khoa học và Công nghệ,-,10,-,-,10,,10.0,,,10.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(44.735),(33.935),(18.258),(7.054),(103.982),-44735.0,-33935.0,-18258.0,-7054.0,-103982.0
Giảm khác,Giá trị khấu hao lũy kế > Giảm khác,Giảm khác,-,(20),-,-,(20),,-20.0,,,-20.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,816.855,1.410.664,350.376,122.120,2.700.015,816855.0,1410664.0,350376.0,122120.0,2700015.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,2.964.346,920.115,352.258,164.489,4.401.208,2964346.0,920115.0,352258.0,164489.0,4401208.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,2.953.098,1.007.162,346.099,183.437,4.489.796,2953098.0,1007162.0,346099.0,183437.0,4489796.0
