row_label_raw,row_label_full,Đối tượng,Số cuối năm > Giá gốcVND,Số cuối năm > Giá trị có thể thu hồiVND,Số đầu năm > Giá gốcVND,Số đầu năm > Giá trị có thể thu hồiVND,numeric__Số cuối năm > Giá gốcVND,numeric__Số cuối năm > Giá trị có thể thu hồiVND,numeric__Số đầu năm > Giá gốcVND,numeric__Số đầu năm > Giá trị có thể thu hồiVND
Phải thu khó có khả năng thu hồi,Phải thu khó có khả năng thu hồi,Phải thu khó có khả năng thu hồi,8.166.991.660,897.689.297,8.166.991.660,2.775.991.336,8166991660.0,897689297.0,8166991660.0,2775991336.0
a) Quá hạn trên 3 năm,a) Quá hạn trên 3 năm,a) Quá hạn trên 3 năm,a) Quá hạn trên 3 năm,a) Quá hạn trên 3 năm,a) Quá hạn trên 3 năm,a) Quá hạn trên 3 năm,,,,
Công ty TNHH Địa ốc Gia Phú,a) Quá hạn trên 3 năm > Công ty TNHH Địa ốc Gia Phú,Công ty TNHH Địa ốc Gia Phú,5.391.000.324,-,5.391.000.324,-,5391000324.0,,5391000324.0,
Công ty TNHH Giải pháp và Công nghệ An Thịnh,a) Quá hạn trên 3 năm > Công ty TNHH Giải pháp và Công nghệ An Thịnh,Công ty TNHH Giải pháp và Công nghệ An Thịnh,384.300.000,-,384.300.000,384.300.000,384300000.0,,384300000.0,384300000.0
Công ty TNHH Đầu tư và Phát triển Tây Hồ,a) Quá hạn trên 3 năm > Công ty TNHH Đầu tư và Phát triển Tây Hồ,Công ty TNHH Đầu tư và Phát triển Tây Hồ,106.244.294,-,106.244.294,106.244.294,106244294.0,,106244294.0,106244294.0
Công ty Cổ phần Bắt động sản Thăng Long,a) Quá hạn trên 3 năm > Công ty Cổ phần Bắt động sản Thăng Long,Công ty Cổ phần Bắt động sản Thăng Long,60.615.000,-,60.615.000,60.615.000,60615000.0,,60615000.0,60615000.0
Công ty Cổ phần TID,a) Quá hạn trên 3 năm > Công ty Cổ phần TID,Công ty Cổ phần TID,343.870.941,-,343.870.941,343.870.941,343870941.0,,343870941.0,343870941.0
Công ty Cổ phần Xuất nhập khẩu Tổng hợp Hà Nội,a) Quá hạn trên 3 năm > Công ty Cổ phần Xuất nhập khẩu Tổng hợp Hà Nội,Công ty Cổ phần Xuất nhập khẩu Tổng hợp Hà Nội,39.683.691,-,39.683.691,39.683.691,39683691.0,,39683691.0,39683691.0
b) Quá hạn từ 2 năm đến dưới 3 năm,b) Quá hạn từ 2 năm đến dưới 3 năm,b) Quá hạn từ 2 năm đến dưới 3 năm,b) Quá hạn từ 2 năm đến dưới 3 năm,b) Quá hạn từ 2 năm đến dưới 3 năm,b) Quá hạn từ 2 năm đến dưới 3 năm,b) Quá hạn từ 2 năm đến dưới 3 năm,,,,
Công ty Cổ phần Đầu tư Bảo Việt,b) Quá hạn từ 2 năm đến dưới 3 năm > Công ty Cổ phần Đầu tư Bảo Việt,Công ty Cổ phần Đầu tư Bảo Việt,45.898.815,-,45.898.815,45.898.815,45898815.0,,45898815.0,45898815.0
c) Quá hạn từ 1 năm đến dưới 2 năm,c) Quá hạn từ 1 năm đến dưới 2 năm,c) Quá hạn từ 1 năm đến dưới 2 năm,c) Quá hạn từ 1 năm đến dưới 2 năm,c) Quá hạn từ 1 năm đến dưới 2 năm,c) Quá hạn từ 1 năm đến dưới 2 năm,c) Quá hạn từ 1 năm đến dưới 2 năm,,,,
Công ty Cổ phần Địa ốc Phú Long,c) Quá hạn từ 1 năm đến dưới 2 năm > Công ty Cổ phần Địa ốc Phú Long,Công ty Cổ phần Địa ốc Phú Long,1.740.000.000,870.000.000,1.740.000.000,1.740.000.000,1740000000.0,870000000.0,1740000000.0,1740000000.0
Công ty Cổ phần dịch vụ Bắt động sản Sao Việt,c) Quá hạn từ 1 năm đến dưới 2 năm > Công ty Cổ phần dịch vụ Bắt động sản Sao Việt,Công ty Cổ phần dịch vụ Bắt động sản Sao Việt,55.378.595,27.689.297,55.378.595,55.378.595,55378595.0,27689297.0,55378595.0,55378595.0
