row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận tải VND,Thiết bị văn phòng VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị văn phòng VND,numeric__Tổng cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,-,35.900.000,18.710.786.454,2.423.438.191,21.170.124.645,,35900000.0,18710786454.0,2423438191.0,21170124645.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,110.684.934.984,-,16.268.081.819,840.008.557,127.793.025.360,110684934984.0,,16268081819.0,840008557.0,127793025360.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(790.515.000),-,(790.515.000),,,-790515000.0,,-790515000.0
Số cuối năm,NGUYÊN GIÁ > Số cuối năm,Số cuối năm,110.684.934.984,35.900.000,34.188.353.273,3.263.446.748,148.172.635.005,110684934984.0,35900000.0,34188353273.0,3263446748.0,148172635005.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Số đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số đầu năm,Số đầu năm,-,11.709.317,4.552.281.319,1.512.788.210,6.076.778.846,,11709317.0,4552281319.0,1512788210.0,6076778846.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,121.523.592,11.966.664,3.600.345.200,445.078.258,4.178.913.714,121523592.0,11966664.0,3600345200.0,445078258.0,4178913714.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(790.515.000),-,(790.515.000),,,-790515000.0,,-790515000.0
Số cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số cuối năm,Số cuối năm,121.523.592,23.675.981,7.362.111.519,1.957.866.468,9.465.177.560,121523592.0,23675981.0,7362111519.0,1957866468.0,9465177560.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Số cuối năm,GIÁ TRỊ CÒN LẠI > Số cuối năm,Số cuối năm,110.563.411.392,12.224.019,26.826.241.754,1.305.580.280,138.707.457.445,110563411392.0,12224019.0,26826241754.0,1305580280.0,138707457445.0
Số đầu năm,GIÁ TRỊ CÒN LẠI > Số đầu năm,Số đầu năm,-,24.190.683,14.158.505.135,910.649.981,15.093.345.799,,24190683.0,14158505135.0,910649981.0,15093345799.0
