row_label_raw,row_label_full,col_0,Dịch vụ môi giới bắt đông sảnVND,Dịch vụ khácVND,Loại trừ nội bộ và điều chỉnhVND,Tổng cộngVND,numeric__Dịch vụ môi giới bắt đông sảnVND,numeric__Dịch vụ khácVND,numeric__Loại trừ nội bộ và điều chỉnhVND,numeric__Tổng cộngVND
Tổng doanh thu thuần,Tổng doanh thu thuần,Tổng doanh thu thuần,1.822.327.500.768,135.340.069.232,(270.484.004.545),1.687.183.565.455,1822327500768.0,135340069232.0,-270484004545.0,1687183565455.0
Chi phí kinh doanh,Chi phí kinh doanh,Chi phí kinh doanh,1.432.272.415.278,125.504.245.160,(270.654.599.343),1.287.122.061.095,1432272415278.0,125504245160.0,-270654599343.0,1287122061095.0
- Giá vốn hàng bán,- Giá vốn hàng bán,- Giá vốn hàng bán,1.299.372.836.028,98.916.751.410,(266.720.748.683),1.131.568.838.755,1299372836028.0,98916751410.0,-266720748683.0,1131568838755.0
- Chi phí bán hàng,- Chi phí bán hàng,- Chi phí bán hàng,17.566.349.661,-,(3.393.264.894),14.173.084.767,17566349661.0,,-3393264894.0,14173084767.0
- Chi phí quản lý doanh nghiệp,- Chi phí quản lý doanh nghiệp,- Chi phí quản lý doanh nghiệp,115.333.229.589,26.587.493.750,(540.585.766),141.380.137.573,115333229589.0,26587493750.0,-540585766.0,141380137573.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,390.055.085.490,9.835.824.072,170.594.798,400.061.504.360,390055085490.0,9835824072.0,170594798.0,400061504360.0
Doanh thu hoạt động tài chính(Lỗ) khác,Doanh thu hoạt động tài chính(Lỗ) khác,Doanh thu hoạt động tài chính(Lỗ) khác,,,,2.983.031.981(2.361.609.561),,,,
Lợi nhuận trước thuế thu nhập doanh nghiệp,Doanh thu hoạt động tài chính(Lỗ) khác > Lợi nhuận trước thuế thu nhập doanh nghiệp,Lợi nhuận trước thuế thu nhập doanh nghiệp,,,,400.682.926.780,,,,400682926780.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Doanh thu hoạt động tài chính(Lỗ) khác > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,80.643.658.724,,,,80643658724.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Doanh thu hoạt động tài chính(Lỗ) khác > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,320.039.268.056,,,,320039268056.0
