row_label_raw,row_label_full,Chi phí bán hàng phát sinh trong năm,Năm nayVND > Chi phí bán hàng phát sinh trong năm,Năm trướcVND > Chi phí bán hàng phát sinh trong năm,numeric__Năm nayVND > Chi phí bán hàng phát sinh trong năm,numeric__Năm trướcVND > Chi phí bán hàng phát sinh trong năm
Chi phí nhân công,Chi phí nhân công,Chi phí nhân công,9.546.803.527,6.874.945.394,9546803527.0,6874945394.0
"Chi phí quảng cáo, khuyến mại","Chi phí quảng cáo, khuyến mại","Chi phí quảng cáo, khuyến mại",4.518.109.675,23.569.715.119,4518109675.0,23569715119.0
Các khoản chi phí bán hàng khác,Các khoản chi phí bán hàng khác,Các khoản chi phí bán hàng khác,108.171.565,109.249.239,108171565.0,109249239.0
,,,14.173.084.767,30.553.909.752,14173084767.0,30553909752.0
Chi phí quản lý doanh nghiệp phát sinh trong năm,Chi phí quản lý doanh nghiệp phát sinh trong năm,Chi phí quản lý doanh nghiệp phát sinh trong năm,Chi phí quản lý doanh nghiệp phát sinh trong năm,Chi phí quản lý doanh nghiệp phát sinh trong năm,,
Chi phí vật liệu quản lý,Chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí vật liệu quản lý,Chi phí vật liệu quản lý,1.307.110.974,7.538.880.216,1307110974.0,7538880216.0
Chi phí nhân công,Chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí nhân công,Chi phí nhân công,73.870.305.789,49.267.737.059,73870305789.0,49267737059.0
Chi phí khấu hao tài sản cổ định,Chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí khấu hao tài sản cổ định,Chi phí khấu hao tài sản cổ định,4.861.081.066,2.789.192.535,4861081066.0,2789192535.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,32.786.834.187,9.334.994.488,32786834187.0,9334994488.0
Các khoản chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp phát sinh trong năm > Các khoản chi phí quản lý doanh nghiệp khác,Các khoản chi phí quản lý doanh nghiệp khác,28.554.805.557,25.328.791.480,28554805557.0,25328791480.0
,,,141.380.137.573,94.259.595.778,141380137573.0,94259595778.0
