row_label_raw,row_label_full,col_0,Dịch vụ môi giới bất động sản,Dịch vụ khác,Loại trừ nội bộ và điều chỉnh,Tổng cộng,numeric__Dịch vụ môi giới bất động sản,numeric__Dịch vụ khác,numeric__Loại trừ nội bộ và điều chỉnh,numeric__Tổng cộng
,,,VND,VND,VND,VND,,,,
Tổng doanh thu thuần,Tổng doanh thu thuần,Tổng doanh thu thuần,1.255.414.456.932,89.641.679.795,(229.595.495.488),1.115.460.641.239,1255414456932.0,89641679795.0,-229595495488.0,1115460641239.0
Chi phí kinh doanh,Chi phí kinh doanh,Chi phí kinh doanh,940.650.827.187,84.403.471.916,(229.595.495.488),795.458.803.615,940650827187.0,84403471916.0,-229595495488.0,795458803615.0
- Giá vốn hàng bán,- Giá vốn hàng bán,- Giá vốn hàng bán,818.942.045.506,65.425.458.489,(213.722.205.910),670.645.298.085,818942045506.0,65425458489.0,-213722205910.0,670645298085.0
- Chi phí bán hàng,- Chi phí bán hàng,- Chi phí bán hàng,36.048.777.363,-,(5.494.867.611),30.553.909.752,36048777363.0,,-5494867611.0,30553909752.0
- Chi phí quản lý doanh nghiệp,- Chi phí quản lý doanh nghiệp,- Chi phí quản lý doanh nghiệp,85.660.004.318,18.978.013.427,(10.378.421.967),94.259.595.778,85660004318.0,18978013427.0,-10378421967.0,94259595778.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,314.763.629.745,5.238.207.879,-,320.001.837.624,314763629745.0,5238207879.0,,320001837624.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,406.228.491,,,,406228491.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,3.661.810.941,,,,3661810941.0
(Lỗ) khác,(Lỗ) khác,(Lỗ) khác,,,,(750.533.245),,,,-750533245.0
Lợi nhuận trước thuế thu nhập doanh nghiệp,Lợi nhuận trước thuế thu nhập doanh nghiệp,Lợi nhuận trước thuế thu nhập doanh nghiệp,,,,315.995.721.929,,,,315995721929.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,62.734.336.698,,,,62734336698.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,253.261.385.231,,,,253261385231.0
