row_label_raw,row_label_full,CHỈ TIỀU,Mã số,Năm nay,Đơn vị: VNDNăm trước,numeric__Mã số,numeric__Năm nay,numeric__Đơn vị: VNDNăm trước
Thuế thu nhập doanh nghiệp đã nộp,2. Điều chỉnh cho các khoản: > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(66.717.646.272),(56.120.880.649),15.0,-66717646272.0,-56120880649.0
Tiền chi khác cho hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,(17.406.819.839),(128.836.000),17.0,-17406819839.0,-128836000.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,(365.589.136.938),246.532.520.571,20.0,-365589136938.0,246532520571.0
II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TUTURE,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TUTURE,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TUTURE,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TUTURE,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TUTURE,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TUTURE,,,
"1. Tiền chi mua sắm, xây dựng tài sản cố định vàcác tài sản dài hạn khác","II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TUTURE > 1. Tiền chi mua sắm, xây dựng tài sản cố định vàcác tài sản dài hạn khác","1. Tiền chi mua sắm, xây dựng tài sản cố định vàcác tài sản dài hạn khác",21,(70.818.303.208),(11.560.640.726),21.0,-70818303208.0,-11560640726.0
"2. Tiền thu thanh lý, nhượng bán TSCĐ vàcác tài sản dài hạn khác","II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TUTURE > 2. Tiền thu thanh lý, nhượng bán TSCĐ vàcác tài sản dài hạn khác","2. Tiền thu thanh lý, nhượng bán TSCĐ vàcác tài sản dài hạn khác",22,72.727.273,300.000.000,22.0,72727273.0,300000000.0
"3. Tiền chi cho vay, mua công cụ nợ của đơn vị khác","II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TUTURE > 3. Tiền chi cho vay, mua công cụ nợ của đơn vị khác","3. Tiền chi cho vay, mua công cụ nợ của đơn vị khác",23,(746.500.000.000),-,23.0,-746500000000.0,
"4. Tiền thu hồi cho vay, bán lại công cụ nợ củadơn vị khác","II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TUTURE > 4. Tiền thu hồi cho vay, bán lại công cụ nợ củadơn vị khác","4. Tiền thu hồi cho vay, bán lại công cụ nợ củadơn vị khác",24,746.500.000.000,-,24.0,746500000000.0,
5. Tiền chi đầu tư góp vốn vào các đơn vị khác,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TUTURE > 5. Tiền chi đầu tư góp vốn vào các đơn vị khác,5. Tiền chi đầu tư góp vốn vào các đơn vị khác,25,-,(16.000.000.000),25.0,,-16000000000.0
6. Tiền thu hồi đầu tư vốn vào đơn vị khác,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TUTURE > 6. Tiền thu hồi đầu tư vốn vào đơn vị khác,6. Tiền thu hồi đầu tư vốn vào đơn vị khác,26,-,22.603.339.114,26.0,,22603339114.0
"7. Thu lãi tiền cho vay, cổ tức và lợi nhuận được chia","II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TUTURE > 7. Thu lãi tiền cho vay, cổ tức và lợi nhuận được chia","7. Thu lãi tiền cho vay, cổ tức và lợi nhuận được chia",27,2.852.177.403,111.471.972,27.0,2852177403.0,111471972.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TUTURE > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(67.893.398.532),(4.545.829.640),30.0,-67893398532.0,-4545829640.0
III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn gópcủa chủ sở hữu","III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1. Tiền thu từ phát hành cổ phiếu, nhận vốn gópcủa chủ sở hữu","1. Tiền thu từ phát hành cổ phiếu, nhận vốn gópcủa chủ sở hữu",31,625.000.000.000,81.000.000.000,31.0,625000000000.0,81000000000.0
2. Tiền thu từ đi vay,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2. Tiền thu từ đi vay,2. Tiền thu từ đi vay,33,170.000.000.000,100.000.000.000,33.0,170000000000.0,100000000000.0
3. Tiền trả nợ gốc vay,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3. Tiền trả nợ gốc vay,3. Tiền trả nợ gốc vay,34,(100.000.000.000),(335.425.000.000),34.0,-100000000000.0,-335425000000.0
"4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,-,(100.517.702.106),36.0,,-100517702106.0
Lưu chuyển tiền thuần từ hoạt động tài chính,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,695.000.000.000,(254.942.702.106),40.0,695000000000.0,-254942702106.0
Lưu chuyển tiền thuần trong năm (50=20+30+40),III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm (50=20+30+40),Lưu chuyển tiền thuần trong năm (50=20+30+40),50,261.517.464.530,(12.956.011.175),50.0,261517464530.0,-12956011175.0
Tiền đầu năm,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền đầu năm,Tiền đầu năm,60,61.267.919.898,74.223.931.073,60.0,61267919898.0,74223931073.0
Tiền cuối năm (70=50+60),III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền cuối năm (70=50+60),Tiền cuối năm (70=50+60),70,322.785.384.428,61.267.919.898,70.0,322785384428.0,61267919898.0
