row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,130.000.000.000,-,12.899.194.890,189.824.187.878,7.616.616.862,340.339.999.630,130000000000.0,,12899194890.0,189824187878.0,7616616862.0,340339999630.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,81.000.000.000,-,-,-,-,81.000.000.000,81000000000.0,,,,,81000000000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,246.199.097.178,7.062.288.053,253.261.385.231,,,,246199097178.0,7062288053.0,253261385231.0
Tăng do mua Cen Sài Gòn,Tăng do mua Cen Sài Gòn,Tăng do mua Cen Sài Gòn,-,-,-,-,4.256.041.418,4.256.041.418,,,,,4256041418.0,4256041418.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,39.000.000.000,-,-,(139.517.702.106),-,(100.517.702.106),39000000000.0,,,-139517702106.0,,-100517702106.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,250.000.000.000,-,12.899.194.890,296.505.582.950,18.934.946.333,578.339.724.173,250000000000.0,,12899194890.0,296505582950.0,18934946333.0,578339724173.0
Phát hành cổ phiếu (i),Phát hành cổ phiếu (i),Phát hành cổ phiếu (i),250.000.000.000,375.000.000.000,-,-,-,625.000.000.000,250000000000.0,375000000000.0,,,,625000000000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,315.301.354.839,4.737.913.217,320.039.268.056,,,,315301354839.0,4737913217.0,320039268056.0
Trích lập các quỹ (ii),Trích lập các quỹ (ii),Trích lập các quỹ (ii),-,-,22.261.020.480,(22.261.020.480),-,-,,,22261020480.0,-22261020480.0,,
"Trích quỹ khen thưởng, phúc lợi (ii)","Trích quỹ khen thưởng, phúc lợi (ii)","Trích quỹ khen thưởng, phúc lợi (ii)",-,-,-,(32.566.363.593),(206.291.782),(32.772.655.375),,,,-32566363593.0,-206291782.0,-32772655375.0
Khác,Khác,Khác,,,,(1.268.748.723),(93.778.959),(1.362.527.682),,,,-1268748723.0,-93778959.0,-1362527682.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,500.000.000.000,375.000.000.000,35.160.215.370,555.710.804.993,23.372.788.809,1.489.243.809.172,500000000000.0,375000000000.0,35160215370.0,555710804993.0,23372788809.0,1489243809172.0
