row_label_raw,row_label_full,Chỉ tiêu,Số đầu năm,Phát sinh trong năm > Số phải nộp,Phát sinh trong năm > Số đã nộp,Số cuối năm,numeric__Số đầu năm,numeric__Phát sinh trong năm > Số phải nộp,numeric__Phát sinh trong năm > Số đã nộp,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,21.505.636.996,60.598.482.054,71.740.609.393,10.363.509.657,21505636996.0,60598482054.0,71740609393.0,10363509657.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,33.260.383.064,81.156.430.599,66.717.646.272,47.699.167.391,33260383064.0,81156430599.0,66717646272.0,47699167391.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,23.957.865.671,49.121.131.168,40.029.561.069,33.049.435.770,23957865671.0,49121131168.0,40029561069.0,33049435770.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,4.072.565.599,4.072.565.599,-,,4072565599.0,4072565599.0,
Cộng,Cộng,Cộng,78.723.885.731,194.948.609.420,182.560.382.333,91.112.112.818,78723885731.0,194948609420.0,182560382333.0,91112112818.0
