row_label_raw,row_label_full,col_0,Số đã báo cáo,Trình bày lại,Số sau trình bày lại,numeric__Số đã báo cáo,numeric__Trình bày lại,numeric__Số sau trình bày lại
,,,VND,VND,VND,,,
Lãi cơ bàn trên cổ phiếu,Lãi cơ bàn trên cổ phiếu,Lãi cơ bàn trên cổ phiếu,11.970,(7.797),4.173,11970.0,-7797.0,4173.0
