row_label_raw,row_label_full,col_0,Nâng cấptài sản thuêVND,Thiết bịvăn phòngVND,Phương tiệnvận chuyểnVND,TổngVND,numeric__Nâng cấptài sản thuêVND,numeric__Thiết bịvăn phòngVND,numeric__Phương tiệnvận chuyểnVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,35.681.203.528,10.074.389.422,6.619.023.455,52.374.616.405,35681203528.0,10074389422.0,6619023455.0,52374616405.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,136.000.000,-,136.000.000,,136000000.0,,136000000.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(1.066.791.600),-,-,(1.066.791.600),-1066791600.0,,,-1066791600.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,34.614.411.928,10.210.389.422,6.619.023.455,51.443.824.805,34614411928.0,10210389422.0,6619023455.0,51443824805.0
Giá trị hao mònlũy kế,Giá trị hao mònlũy kế,Giá trị hao mònlũy kế,Giá trị hao mònlũy kế,Giá trị hao mònlũy kế,Giá trị hao mònlũy kế,Giá trị hao mònlũy kế,,,,
Số dư đầu năm,Giá trị hao mònlũy kế > Số dư đầu năm,Số dư đầu năm,33.176.480.855,9.407.246.027,3.261.850.724,45.845.577.606,33176480855.0,9407246027.0,3261850724.0,45845577606.0
Khấu hao trongnăm,Giá trị hao mònlũy kế > Khấu hao trongnăm,Khấu hao trongnăm,1.445.218.142,431.252.572,1.103.170.575,2.979.641.289,1445218142.0,431252572.0,1103170575.0,2979641289.0
Thanh lý,Giá trị hao mònlũy kế > Thanh lý,Thanh lý,(1.066.791.600),-,-,(1.066.791.600),-1066791600.0,,,-1066791600.0
Số dư cuối năm,Giá trị hao mònlũy kế > Số dư cuối năm,Số dư cuối năm,33.554.907.397,9.838.498.599,4.365.021.299,47.758.427.295,33554907397.0,9838498599.0,4365021299.0,47758427295.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.504.722.673,667.143.395,3.357.172.731,6.529.038.799,2504722673.0,667143395.0,3357172731.0,6529038799.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.059.504.531,371.890.823,2.254.002.156,3.685.397.510,1059504531.0,371890823.0,2254002156.0,3685397510.0
