row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,31/12/2024 VND,1/1/2024 VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2024 VND,numeric__1/1/2024 VND
NỘ PHẢI TRÀ,NỘ PHẢI TRÀ,NỘ PHẢI TRÀ,300,,24.081.293.864.391,29.930.061.111.439,300.0,,24081293864391.0,29930061111439.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,310,,2.984.456.318.736,6.120.501.603.741,310.0,,2984456318736.0,6120501603741.0
Phải trả người bán,Phải trả người bán,Phải trả người bán,311,,87.687.391.693,19.667.423.258,311.0,,87687391693.0,19667423258.0
Thuế phải nộp Ngân sách Nhà nước,Thuế phải nộp Ngân sách Nhà nước,Thuế phải nộp Ngân sách Nhà nước,313,,15.103.367.411,3.123.881.174,313.0,,15103367411.0,3123881174.0
Phải trả nhân viên,Phải trả nhân viên,Phải trả nhân viên,314,,49.538.702,49.538.702,314.0,,49538702.0,49538702.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,10(a),356.661.046.671,571.572.318.447,315.0,,356661046671.0,571572318447.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,11(a),8.253.474.259,3.680.025.942.160,319.0,,8253474259.0,3680025942160.0
Vay và trái phiếu phát hành ngắn hạn,Vay và trái phiếu phát hành ngắn hạn,Vay và trái phiếu phát hành ngắn hạn,320,12,2.516.701.500.000,1.846.062.500.000,320.0,12.0,2516701500000.0,1846062500000.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,330,,21.096.837.545.655,23.809.559.507.698,330.0,,21096837545655.0,23809559507698.0
Chi phí phải trả dài hạn,Chi phí phải trả dài hạn,Chi phí phải trả dài hạn,333,10(b),55.061.479.450,15.614.360.274,333.0,,55061479450.0,15614360274.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,337,11(b),1.500.000.000.000,2.265.000.000.000,337.0,,1500000000000.0,2265000000000.0
Vay và trái phiếu phát hành dài hạn,Vay và trái phiếu phát hành dài hạn,Vay và trái phiếu phát hành dài hạn,338,12,19.541.776.066.205,21.528.945.147.424,338.0,12.0,19541776066205.0,21528945147424.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,400,,28.484.088.761.596,21.595.539.649.463,400.0,,28484088761596.0,21595539649463.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,410,13,28.484.088.761.596,21.595.539.649.463,410.0,13.0,28484088761596.0,21595539649463.0
Vốn cổ phần,Vốn cổ phần,Vốn cổ phần,411,14,15.129.280.870.000,14.308.434.060.000,411.0,14.0,15129280870000.0,14308434060000.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,14,14.164.557.503.261,8.723.077.701.079,412.0,14.0,14164557503261.0,8723077701079.0
Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,414,16,(1.695.338.182.568),(1.695.338.182.568),414.0,16.0,-1695338182568.0,-1695338182568.0
Lợi nhuận sau thuế chưa phân phối- Lợi nhuận sau thuế chưa phân phốilũy kế đến cuối năm trước,Lợi nhuận sau thuế chưa phân phối- Lợi nhuận sau thuế chưa phân phốilũy kế đến cuối năm trước,Lợi nhuận sau thuế chưa phân phối- Lợi nhuận sau thuế chưa phân phốilũy kế đến cuối năm trước,421a,,885.588.570.903,259.366.070.952,,,885588570903.0,259366070952.0
Lợi nhuận sau thuế chưa phân phối- Lợi nhuận sau thuế chưa phân phốilũy kế đến cuối năm trước,Lợi nhuận sau thuế chưa phân phối- Lợi nhuận sau thuế chưa phân phốilũy kế đến cuối năm trước,Lợi nhuận sau thuế chưa phân phối- Lợi nhuận sau thuế chưa phân phốilũy kế đến cuối năm trước,421a,,259.366.070.952,371.660.953.096,,,259366070952.0,371660953096.0
- Lợi nhuận/(lỗ) trong năm,- Lợi nhuận/(lỗ) trong năm,- Lợi nhuận/(lỗ) trong năm,421b,,626.222.499.951,(112.294.882.144),,,626222499951.0,-112294882144.0
TỔNG NGUỒN VỐN,TỔNG NGUỒN VỐN,TỔNG NGUỒN VỐN,440,,52.565.382.625.987,51.525.600.760.902,440.0,,52565382625987.0,51525600760902.0
