row_label_raw,row_label_full,Ngân hàng > Ngân hàng TMCP Việt Nam Thịnh Vương,Số cuối năm > 2.271.305.090.088,VND Số đầu năm > 1.679.079.060.590,numeric__Số cuối năm > 2.271.305.090.088,numeric__VND Số đầu năm > 1.679.079.060.590
Ngân hàng TMCP Quản đội,Ngân hàng TMCP Quản đội,Ngân hàng TMCP Quản đội,1.066.210.461.899,-,1066210461899.0,
Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,777.150.000.000,782.432.000.000,777150000000.0,782432000000.0
Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,160.698.835.227,147.951.392.043,160698835227.0,147951392043.0
Ngân hàng TMCP Đệ Nhất - Chi nhánh Hồ Chí Minh,Ngân hàng TMCP Đệ Nhất - Chi nhánh Hồ Chí Minh,Ngân hàng TMCP Đệ Nhất - Chi nhánh Hồ Chí Minh,37.916.666.666,50.555.555.556,37916666666.0,50555555556.0
Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,14.946.000.000,15.146.000.000,14946000000.0,15146000000.0
Ngân hàng TMCP Kỹ Thương Việt Nam,Ngân hàng TMCP Kỹ Thương Việt Nam,Ngân hàng TMCP Kỹ Thương Việt Nam,-,44.568.809.751,,44568809751.0
Ngân hàng khác,Ngân hàng khác,Ngân hàng khác,12.967.179.258,4.309.510.538,12967179258.0,4309510538.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,4.341.194.233.138,2.724.042.328.478,4341194233138.0,2724042328478.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,2.869.171.236.115,1.531.954.848.160,2869171236115.0,1531954848160.0
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,1.472.022.997.023,1.192.087.480.318,1472022997023.0,1192087480318.0
