row_label_raw,row_label_full,Ngân hàng,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
"Ngân hàng Thương mại Cổ phần (""TMCP"")","Ngân hàng Thương mại Cổ phần (""TMCP"")","Ngân hàng Thương mại Cổ phần (""TMCP"")",,,,
Công thương Việt Nam,"Ngân hàng Thương mại Cổ phần (""TMCP"") > Công thương Việt Nam",Công thương Việt Nam,335.613.403.524,416.960.643.483,335613403524.0,416960643483.0
Ngân hàng TMCP Việt Nam Thịnh Vượng,"Ngân hàng Thương mại Cổ phần (""TMCP"") > Ngân hàng TMCP Việt Nam Thịnh Vượng",Ngân hàng TMCP Việt Nam Thịnh Vượng,166.178.379.813,143.174.626.967,166178379813.0,143174626967.0
Ngân hàng liên doanh Việt Nga,"Ngân hàng Thương mại Cổ phần (""TMCP"") > Ngân hàng liên doanh Việt Nga",Ngân hàng liên doanh Việt Nga,150.647.933.550,115.991.081.664,150647933550.0,115991081664.0
Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,"Ngân hàng Thương mại Cổ phần (""TMCP"") > Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam",Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,76.100.000.000,50.352.520.000,76100000000.0,50352520000.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,"Ngân hàng Thương mại Cổ phần (""TMCP"") > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam",Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,72.986.209.038,89.301.804.065,72986209038.0,89301804065.0
Ngân hàng TMCP Ngoại thương Việt Nam,"Ngân hàng Thương mại Cổ phần (""TMCP"") > Ngân hàng TMCP Ngoại thương Việt Nam",Ngân hàng TMCP Ngoại thương Việt Nam,3.815.620.039,25.659.506.840,3815620039.0,25659506840.0
Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,"Ngân hàng Thương mại Cổ phần (""TMCP"") > Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh",Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,-,12.000.000.000,,12000000000.0
Ngân hàng TMCP Tiên Phong,"Ngân hàng Thương mại Cổ phần (""TMCP"") > Ngân hàng TMCP Tiên Phong",Ngân hàng TMCP Tiên Phong,-,1.790.000.000,,1790000000.0
TỔNG CỘNG,"Ngân hàng Thương mại Cổ phần (""TMCP"") > TỔNG CỘNG",TỔNG CỘNG,805.341.545.964,855.230.182.819,805341545964.0,855230182819.0
