row_label_raw,row_label_full,26.,VAY VÀ NỘ (tiếp theo),col_2,col_3,col_4,numeric__VAY VÀ NỘ (tiếp theo),numeric__col_2,numeric__col_3,numeric__col_4
26.2,26.2,26.2,Vay dài hạn từ ngân hàng (tiếp theo),Vay dài hạn từ ngân hàng (tiếp theo),Vay dài hạn từ ngân hàng (tiếp theo),Vay dài hạn từ ngân hàng (tiếp theo),,,,
26.2,26.2,26.2,Chi tiết các khoản vay dài hạn từ ngân hàng được trình bày như sau (tiếp theo):,Chi tiết các khoản vay dài hạn từ ngân hàng được trình bày như sau (tiếp theo):,Chi tiết các khoản vay dài hạn từ ngân hàng được trình bày như sau (tiếp theo):,Chi tiết các khoản vay dài hạn từ ngân hàng được trình bày như sau (tiếp theo):,,,,
26.2,26.2,26.2,Ngân hàng,Số cuối năm(VND),Kỳ hạn trả gốc,Mục đích vayHình thức đảm bảo,,,,
26.2,26.2,26.2,Ngân hàng TMCP Việt Nam Thịnh Vương,Ngân hàng TMCP Việt Nam Thịnh Vương,Ngân hàng TMCP Việt Nam Thịnh Vương,Ngân hàng TMCP Việt Nam Thịnh Vương,,,,
26.2,26.2 > 26.2,26.2,Khoản vay 1,1.250.000.000.000,Từ ngày 3 tháng 4 năm 2025 vàngày 3 tháng 10 năm 2026,"Tài trợ các dự ánđang triển khaiQuyền sử dụng đất của các lô đất tại huyện Long Thành, tỉnh Đồng Nai thuộc một phần dự án Gem Sky World (""GSW"");và quyền tài sản phát sinh tử dự án GSW",,1250000000000.0,,
26.2,26.2 > 26.2,26.2,Khoản vay 2,800.000.000.000,Ngày 25 tháng 9 năm 2026,"Tài trợ các dự ánđang triển khaiQuyền sử dụng đất của 242 lô đất tại huyện Long Thành, tỉnh Đồng Nai và các tài sản khác của Hội An Invest",,800000000000.0,,
26.2,26.2 > 26.2,26.2,Khoản vay 3,204.145.710.271,Ngày 28 tháng 10 năm 2026,Tài trợ các dự ánđang triển khaiQuyền sử dụng đất của 19 lô đất nền thuộc Khu nhà ở phía Đông đường Hùng Vương thuộc dự án La Maison Premium,,204145710271.0,,
26.2,26.2 > 26.2,26.2,Khoản vay 4,17.100.000.000,Từ ngày 3 tháng 1 năm 2025 vàngày 18 tháng 4 năm 2025,Tài trợ các dự ánđang triển khaiQuyền sử dụng đất và tài sản gắn liền với đất của dự án Cara River Park,,17100000000.0,,
26.2,26.2 > 26.2,26.2,Khoản vay 5,59.379.817,Ngày 30 tháng 6 năm 2025,Mua tài sảnPhương tiện vận tải,,59379817.0,,
26.2,26.2 > 26.2,26.2,,2.271.305.090.088,,,,2271305090088.0,,
26.2,26.2 > 26.2,26.2,Trong đó:Vay dài hạn đến hạn trả,577.159.379.817,,,,577159379817.0,,
26.2,26.2,26.2,Ngân hàng TMCP Quân Đội,Ngân hàng TMCP Quân Đội,Ngân hàng TMCP Quân Đội,Ngân hàng TMCP Quân Đội,,,,
26.2,26.2 > 26.2,26.2,Khoản vay 1,956.210.461.899,Từ ngày 10 tháng 4 năm 2026đến ngày 10 tháng 1 năm 2030,Tài trợ các dự ánđang triển khaiQuyền sử dụng đất và tài sản gắn liền với đất của dự án Gem Riverside,,956210461899.0,,
26.2,26.2 > 26.2,26.2,Khoản vay 2,110.000.000.000,Ngày 28 tháng 12 năm 2028,Bổ sung vốn lưu độngQuyền sử dụng đất và quyền sử dụng tài sản gắn liền với đất của 20 lô đất thuộc dự án Khu đô thị Đất Quảng Riverside,,110000000000.0,,
26.2,26.2 > 26.2,26.2,,1.066.210.461.899,,,,1066210461899.0,,
26.2,26.2 > 26.2,26.2,Trong đó:Vay dài hạn đến hạn trả,11.000.000.000,,,,11000000000.0,,
