row_label_raw,row_label_full,col_0,Năm nay,Năm trước (điều chính lại),numeric__Năm nay,numeric__Năm trước (điều chính lại)
Lợi nhuận sau thuế (VND),Lợi nhuận sau thuế (VND),Lợi nhuận sau thuế (VND),255.935.001.805,171.983.289.231,255935001805.0,171983289231.0
"Trừ: Quỹ khen thưởng, phúc lợi (VND) (i)","Trừ: Quỹ khen thưởng, phúc lợi (VND) (i)","Trừ: Quỹ khen thưởng, phúc lợi (VND) (i)",(7.576.869.847),(5.439.453.616),-7576869847.0,-5439453616.0
Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông (VND),Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông (VND),Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông (VND),248.358.131.958,166.543.835.615,248358131958.0,166543835615.0
Ảnh hưởng suy giảm do chi phí lãi vay phát sinh từ trái phiếu chuyển đổi,Ảnh hưởng suy giảm do chi phí lãi vay phát sinh từ trái phiếu chuyển đổi,Ảnh hưởng suy giảm do chi phí lãi vay phát sinh từ trái phiếu chuyển đổi,-,2.688.000.002,,2688000002.0
Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông sau khi đã điều chỉnh cho các yếu tố suy giảm,Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông sau khi đã điều chỉnh cho các yếu tố suy giảm,Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông sau khi đã điều chỉnh cho các yếu tố suy giảm,248.358.131.958,169.231.835.617,248358131958.0,169231835617.0
Số lượng cổ phiếu phổ thông lưu hành bình quân,Số lượng cổ phiếu phổ thông lưu hành bình quân,Số lượng cổ phiếu phổ thông lưu hành bình quân,704.591.492,610.031.516,704591492.0,610031516.0
Ảnh hưởng suy giảm do Trái phiếu có thể chuyển đổi,Ảnh hưởng suy giảm do Trái phiếu có thể chuyển đổi,Ảnh hưởng suy giảm do Trái phiếu có thể chuyển đổi,-,2.402.042,,2402042.0
Bình quân gia quyền của số cổ phiếu phổ thông đã điều chỉnh cho các yếu tố suy giảm,Bình quân gia quyền của số cổ phiếu phổ thông đã điều chỉnh cho các yếu tố suy giảm,Bình quân gia quyền của số cổ phiếu phổ thông đã điều chỉnh cho các yếu tố suy giảm,704.591.492,612.433.558,704591492.0,612433558.0
Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),352,276,352.0,276.0
Lãi suy giảm trên cổ phiếu (VND/cổ phiếu) (ii),Lãi suy giảm trên cổ phiếu (VND/cổ phiếu) (ii),Lãi suy giảm trên cổ phiếu (VND/cổ phiếu) (ii),352,276,352.0,276.0
