row_label_raw,row_label_full,Ngân hàng > Ngân hàng TMCP Công thương Việt Nam > Khoản vay 1 > Khoản vay 2,Số cuối năm(VND) > Ngân hàng TMCP Công thương Việt Nam > 772.000.000.000 > 5.150.000.000 > 777.150.000.000,Kỳ hạn trả gốc > Ngân hàng TMCP Công thương Việt Nam > Ngày 21 tháng 4 năm 2025 > Ngày 29 tháng 10 năm 2026,Mục đích vay > Ngân hàng TMCP Công thương Việt Nam > Tài trợ các dự án đang triển khai > Mua tài sản,"Hình thức đảm bảo > Ngân hàng TMCP Công thương Việt Nam > Quyền sử dụng đất và tài sản gắn liền với đất của dự án Khu đô thị Bảo Ninh 1 tại Xã Bảo Ninh, Thành phố Đồng Hói, Tĩnh Quảng Bình > Phương tiện vận tải",numeric__Số cuối năm(VND) > Ngân hàng TMCP Công thương Việt Nam > 772.000.000.000 > 5.150.000.000 > 777.150.000.000,numeric__Kỳ hạn trả gốc > Ngân hàng TMCP Công thương Việt Nam > Ngày 21 tháng 4 năm 2025 > Ngày 29 tháng 10 năm 2026,numeric__Mục đích vay > Ngân hàng TMCP Công thương Việt Nam > Tài trợ các dự án đang triển khai > Mua tài sản,"numeric__Hình thức đảm bảo > Ngân hàng TMCP Công thương Việt Nam > Quyền sử dụng đất và tài sản gắn liền với đất của dự án Khu đô thị Bảo Ninh 1 tại Xã Bảo Ninh, Thành phố Đồng Hói, Tĩnh Quảng Bình > Phương tiện vận tải"
Trong đó:Vay dài hạn đến hạn trả,Trong đó:Vay dài hạn đến hạn trả,Trong đó:Vay dài hạn đến hạn trả,773.032.768.813,,,,773032768813.0,,,
Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,,,,
Khoản vay 1,Ngân hàng TMCP Hàng hải Việt Nam > Khoản vay 1,Khoản vay 1,91.996.278.412,Ngày 22 tháng 12 năm 2026,Tài trợ các dự án đang triển khai,Giấy chứng nhận quyền sử dụng đất và tài sản hình thành trong tương lại của dự án Cara River Park,91996278412.0,,,
Khoản vay 2,Ngân hàng TMCP Hàng hải Việt Nam > Khoản vay 2,Khoản vay 2,68.702.556.815,Từ ngày 27 tháng 1 năm 2025,Tài trợ các dự án đang triển khai,thuộc sở hữu của Đất Xanh Miền Tây,68702556815.0,,,
