row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Vốn khác thuộc chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn cổ phần,numeric__Thăng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Vốn khác thuộc chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,6.117.790.020.000,80.398.440.806,(2.500.560.000),110.989.181.256,1.360.256.242.131,1.736.225.362.990,4.783.209.220.458,14.186.367.907.641,6117790020000.0,80398440806.0,-2500560000.0,110989181256.0,1360256242131.0,1736225362990.0,4783209220458.0,14186367907641.0
Phát hành cổ phiếu (Thuyết minh số 4),Năm nay > Phát hành cổ phiếu (Thuyết minh số 4),Phát hành cổ phiếu (Thuyết minh số 4),1.016.719.190.000,202.754.898.000,-,-,-,-,-,1.219.474.088.000,1016719190000.0,202754898000.0,,,,,,1219474088000.0
Phát hành cổ phiếu ESOP (Thuyết minh số 4),Năm nay > Phát hành cổ phiếu ESOP (Thuyết minh số 4),Phát hành cổ phiếu ESOP (Thuyết minh số 4),90.000.000.000,-,-,-,-,(90.000.000.000),-,-,90000000000.0,,,,,-90000000000.0,,
Phát hành cổ phiếu ESOP ở công ty con (*),Năm nay > Phát hành cổ phiếu ESOP ở công ty con (*),Phát hành cổ phiếu ESOP ở công ty con (*),,-,-,-,-,(30.141.652.640),30.141.652.640,-,,,,,,-30141652640.0,30141652640.0,
Góp vốn của cổ đông không kiểm soát,Năm nay > Góp vốn của cổ đông không kiểm soát,Góp vốn của cổ đông không kiểm soát,,-,-,-,-,-,6.450.000.000,6.450.000.000,,,,,,,6450000000.0,6450000000.0
Cổ tức trả cho cổ đông không kiểm soát,Năm nay > Cổ tức trả cho cổ đông không kiểm soát,Cổ tức trả cho cổ đông không kiểm soát,,-,-,-,-,-,(6.644.524.073),(6.644.524.073),,,,,,,-6644524073.0,-6644524073.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,,-,-,-,-,255.935.001.805,197.493.101.996,453.428.103.801,,,,,,255935001805.0,197493101996.0,453428103801.0
Trích quỹ đầu tư phát triển,Năm nay > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,,-,-,3.439.665.784,-,(3.439.665.784),-,-,,,,3439665784.0,,-3439665784.0,,
"Trích quỹ khen thưởng, phúc lợi","Năm nay > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",,-,-,-,-,(5.439.453.616),-,(5.439.453.616),,,,,,-5439453616.0,,-5439453616.0
Thay đổi tỷ lệ sở hữu tại công ty con,Năm nay > Thay đổi tỷ lệ sở hữu tại công ty con,Thay đổi tỷ lệ sở hữu tại công ty con,,-,-,-,-,(375.736.871.035),(275.486.121.518),(651.222.992.553),,,,,,-375736871035.0,-275486121518.0,-651222992553.0
Khác,Năm nay > Khác,Khác,,-,-,-,-,(131.848.023),-,(131.848.023),,,,,,-131848023.0,,-131848023.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,7.224.509.210.000,283.153.338.806,(2.500.560.000),114.428.847.040,1.360.256.242.131,1.487.270.873.697,4.735.163.329.503,15.202.281.281.177,7224509210000.0,283153338806.0,-2500560000.0,114428847040.0,1360256242131.0,1487270873697.0,4735163329503.0,15202281281177.0
