row_label_raw,row_label_full,Tổ chức thu xếp phát hành > Ngân hàng TMCP Việt Nam Thịnh Vương,Số cuối năm > 748.636.905.822,VND Số đầu năm > 945.649.056.242,numeric__Số cuối năm > 748.636.905.822,numeric__VND Số đầu năm > 945.649.056.242
Công ty Cổ Phần Chứng Khoán Alpha,Công ty Cổ Phần Chứng Khoán Alpha,Công ty Cổ Phần Chứng Khoán Alpha,234.164.398.483,-,234164398483.0,
Công ty TNHH Chứng khoán JB Việt Nam,Công ty TNHH Chứng khoán JB Việt Nam,Công ty TNHH Chứng khoán JB Việt Nam,207.086.250.030,205.143.750.018,207086250030.0,205143750018.0
Công ty Chứng khoán Ngân hàng Công thương Việt Nam,Công ty Chứng khoán Ngân hàng Công thương Việt Nam,Công ty Chứng khoán Ngân hàng Công thương Việt Nam,199.842.920.472,199.684.784.100,199842920472.0,199684784100.0
Công ty Quản lý quỹ đầu tư MB,Công ty Quản lý quỹ đầu tư MB,Công ty Quản lý quỹ đầu tư MB,-,51.537.500.000,,51537500000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.389.730.474.807,1.402.015.090.360,1389730474807.0,1402015090360.0
Trong đó:,Trong đó:,Trong đó:,,,,
Nợ dài hạn đến hạn trả,Trong đó: > Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,948.479.826.294,251.146.255.147,948479826294.0,251146255147.0
Nợ dài hạn,Trong đó: > Nợ dài hạn,Nợ dài hạn,441.250.648.513,1.150.868.835.213,441250648513.0,1150868835213.0
