row_label_raw,row_label_full,Tên công ty liên kết,Lĩnh vực kinh doanh,Số cuối năm > Tỷ lệ biểu quyết %,Số cuối năm > Giá trị ghi số VND,Số đầu năm > Tỷ lệ biểu quyết %,Số đầu năm > Giá trị ghi số VND,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm > Tỷ lệ biểu quyết %,numeric__Số cuối năm > Giá trị ghi số VND,numeric__Số đầu năm > Tỷ lệ biểu quyết %,numeric__Số đầu năm > Giá trị ghi số VND
Công ty Cổ phần Đất Xanh Capital (i),Công ty Cổ phần Đất Xanh Capital (i),Công ty Cổ phần Đất Xanh Capital (i),Kinh doanh BĐS,49,299.693.461.236,49,299.865.594.090,,49.0,299693461236.0,49.0,299865594090.0
Công ty TNHH Bất động sản Lan Anh (ii),Công ty TNHH Bất động sản Lan Anh (ii),Công ty TNHH Bất động sản Lan Anh (ii),Kinh doanh và môi giới BĐS,30,49.392.989.526,-,-,,30.0,49392989526.0,,
Công ty TNHH Đầu tư Lê Gia Newland (iii),Công ty TNHH Đầu tư Lê Gia Newland (iii),Công ty TNHH Đầu tư Lê Gia Newland (iii),Kinh doanh và môi giới BĐS,50,39.255.468.825,40,31.589.491.209,,50.0,39255468825.0,40.0,31589491209.0
Công ty TNHH Tư vấn và Đầu tư Tadugo (iv),Công ty TNHH Tư vấn và Đầu tư Tadugo (iv),Công ty TNHH Tư vấn và Đầu tư Tadugo (iv),Kinh doanh và môi giới BĐS,25,25.000.000.000,-,-,,25.0,25000000000.0,,
Công ty TNHH Bất động sản Indochine,Công ty TNHH Bất động sản Indochine,Công ty TNHH Bất động sản Indochine,Kinh doanh và môi giới BĐS,27.77,2.396.895.164,-,-,,2777.0,2396895164.0,,
Công ty Cổ phần Nhà Ổ Ngay Reco,Công ty Cổ phần Nhà Ổ Ngay Reco,Công ty Cổ phần Nhà Ổ Ngay Reco,Kinh doanh và môi giới BĐS,25,1.188.615.732,-,-,,25.0,1188615732.0,,
Công ty Cổ phần Sight Realty,Công ty Cổ phần Sight Realty,Công ty Cổ phần Sight Realty,Kinh doanh và môi giới BĐS,45,83.159.021,-,-,,45.0,83159021.0,,
Công ty Cổ phần Đầu tư và Dịch vụ Đất Xanh Miền Nam,Công ty Cổ phần Đầu tư và Dịch vụ Đất Xanh Miền Nam,Công ty Cổ phần Đầu tư và Dịch vụ Đất Xanh Miền Nam,Kinh doanh và môi giới BĐS,49,-,49,37.392.262.891,,49.0,,49.0,37392262891.0
Khác,Khác,Khác,Kinh doanh và môi giới BĐS,36,30.550.624,-,-,,36.0,30550624.0,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,417.041.140.128,,368.847.348.190,,,417041140128.0,,368847348190.0
