row_label_raw,row_label_full,col_0,VNDNhà cửa và vật kiến trúc,numeric__VNDNhà cửa và vật kiến trúc
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,249.970.598.250,249970598250.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,52.476.230.636,52476230636.0
Chuyển từ tài sản cố định hữu hình,Nguyên giá: > Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,5.765.287.119,5765287119.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,(6.296.808.168),-6296808168.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,301.915.307.837,301915307837.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(139.655.668.633),-139655668633.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(8.224.035.592),-8224035592.0
Chuyển từ tài sản cố định hữu hình,Giá trị khấu hao lũy kế: > Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,(1.402.882.499),-1402882499.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(149.282.586.724),-149282586724.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,110.314.929.617,110314929617.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,152.632.721.113,152632721113.0
