row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tưphát triển,Vốn khác thuộc chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tưphát triển,numeric__Vốn khác thuộc chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,6.117.790.020.000,80.398.440.806,(2.500.560.000),106.673.070.652,634.480.052.599,2.308.311.063.143,4.839.779.563.252,14.084.931.650.452,6117790020000.0,80398440806.0,-2500560000.0,106673070652.0,634480052599.0,2308311063143.0,4839779563252.0,14084931650452.0
Thường bằng cổ phiếu của công ty con,Năm trước > Thường bằng cổ phiếu của công ty con,Thường bằng cổ phiếu của công ty con,-,-,-,-,725.776.189.532,(725.776.189.532),-,-,,,,,725776189532.0,-725776189532.0,,
Góp vốn của cổ đông không kiểm soát,Năm trước > Góp vốn của cổ đông không kiểm soát,Góp vốn của cổ đông không kiểm soát,-,-,-,-,-,-,28.990.500.001,28.990.500.001,,,,,,,28990500001.0,28990500001.0
Cổ tức trả cho cổ đông không kiểm soát,Năm trước > Cổ tức trả cho cổ đông không kiểm soát,Cổ tức trả cho cổ đông không kiểm soát,-,-,-,-,-,-,(80.339.052.386),(80.339.052.386),,,,,,,-80339052386.0,-80339052386.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,171.983.289.231,(21.743.250.633),150.240.038.598,,,,,,171983289231.0,-21743250633.0,150240038598.0
Trích quỹ đầu tư phát triển,Năm trước > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,4.297.383.804,-,(4.297.383.804),-,-,,,,4297383804.0,,-4297383804.0,,
"Trích quỹ khen thưởng, phúc lợi","Năm trước > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(13.716.267.999),(4.702.257.068),(18.418.525.067),,,,,,-13716267999.0,-4702257068.0,-18418525067.0
Thay đổi tỷ lệ sở hữu tai công ty con,Năm trước > Thay đổi tỷ lệ sở hữu tai công ty con,Thay đổi tỷ lệ sở hữu tai công ty con,-,-,-,18.726.800,-,(279.148.049),2.241.632.766,1.981.211.517,,,,18726800.0,,-279148049.0,2241632766.0,1981211517.0
Thanh lý công ty con,Năm trước > Thanh lý công ty con,Thanh lý công ty con,-,-,-,-,-,-,18.982.084.526,18.982.084.526,,,,,,,18982084526.0,18982084526.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,6.117.790.020.000,80.398.440.806,(2.500.560.000),110.989.181.256,1.360.256.242.131,1.736.225.362.990,4.783.209.220.458,14.186.367.907.641,6117790020000.0,80398440806.0,-2500560000.0,110989181256.0,1360256242131.0,1736225362990.0,4783209220458.0,14186367907641.0
