row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Lợi nhuận nội bộ chưa thực hiện,Tài sản thuế thu nhập hoãn lại > Lợi nhuận nội bộ chưa thực hiện,Lợi nhuận nội bộ chưa thực hiện,82.229.519.927,137.073.388.105,(54.843.868.178),(41.377.136.960),82229519927.0,137073388105.0,-54843868178.0,-41377136960.0
Chi phí phải trả,Tài sản thuế thu nhập hoãn lại > Chi phí phải trả,Chi phí phải trả,14.270.708.837,14.359.126.101,(88.417.264),(42.396.450.553),14270708837.0,14359126101.0,-88417264.0,-42396450553.0
Thuế TNDN đã nộp từ các khoản tiền thanh toán theo tiến độ của khách hàng (*),Tài sản thuế thu nhập hoãn lại > Thuế TNDN đã nộp từ các khoản tiền thanh toán theo tiến độ của khách hàng (*),Thuế TNDN đã nộp từ các khoản tiền thanh toán theo tiến độ của khách hàng (*),5.010.450.602,26.799.367.528,(21.788.916.926),10.647.658.136,5010450602.0,26799367528.0,-21788916926.0,10647658136.0
Khác,Tài sản thuế thu nhập hoãn lại > Khác,Khác,1.524.865.829,1.589.865.829,(65.000.000),(355.482.899),1524865829.0,1589865829.0,-65000000.0,-355482899.0
,,,103.035.545.195,179.821.747.563,,,103035545195.0,179821747563.0,,
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,
Dự phòng các khoản đầu tư,Thuế thu nhập hoãn lại phải trả > Dự phòng các khoản đầu tư,Dự phòng các khoản đầu tư,(184.064.051.262),(147.720.321.584),(36.343.729.678),(51.303.906.545),-184064051262.0,-147720321584.0,-36343729678.0,-51303906545.0
Khác,Thuế thu nhập hoãn lại phải trả > Khác,Khác,(2.466.357.170),(8.030.189.647),5.563.832.477,(6.212.838.003),-2466357170.0,-8030189647.0,5563832477.0,-6212838003.0
,,,(186.530.408.432),(155.750.511.231),,,-186530408432.0,-155750511231.0,,
Chi phí thuế hoãn lại tính vào báo cáo kết quả kinh doanh hợp nhất,Thuế thu nhập hoãn lại phải trả > Chi phí thuế hoãn lại tính vào báo cáo kết quả kinh doanh hợp nhất,Chi phí thuế hoãn lại tính vào báo cáo kết quả kinh doanh hợp nhất,Chi phí thuế hoãn lại tính vào báo cáo kết quả kinh doanh hợp nhất,Chi phí thuế hoãn lại tính vào báo cáo kết quả kinh doanh hợp nhất,(107.566.099.569),(130.998.156.825),,,-107566099569.0,-130998156825.0
