row_label_raw,row_label_full,Chi phí thuế TNDN hiện hànhĐiều chỉnh thuế TNDN trích thiếu trong những năm trước,Năm nay > 169.233.062.593 > 18.382.997,VNDNăm trước > 180.089.768.499 > (8.174.886.115),numeric__Năm nay > 169.233.062.593 > 18.382.997,numeric__VNDNăm trước > 180.089.768.499 > (8.174.886.115)
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,107.566.099.569,130.998.156.825,107566099569.0,130998156825.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,276.817.545.159,302.913.039.209,276817545159.0,302913039209.0
