row_label_raw,row_label_full,col_0,Dịch vụbắt động sản,Đầu tư và phát triểndự án bắt động sản,Dịch vụ xây dựng,Loại trừ,VNDTổng cộng,numeric__Dịch vụbắt động sản,numeric__Đầu tư và phát triểndự án bắt động sản,numeric__Dịch vụ xây dựng,numeric__Loại trừ,numeric__VNDTổng cộng
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,,,,,
Doanh thu thuầnDoanh thu hoạt động kinh doanh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > Doanh thu thuầnDoanh thu hoạt động kinh doanh,Doanh thu thuầnDoanh thu hoạt động kinh doanh,2.150.473.506.915,2.042.878.470.904,186.904.452.168,(655.430.485.645),3.724.825.944.342,2150473506915.0,2042878470904.0,186904452168.0,-655430485645.0,3724825944342.0
Kết quả hoạt động kinh doanhLợi nhuận gộp của bộ phậnChi phí không phân bổ,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > Kết quả hoạt động kinh doanhLợi nhuận gộp của bộ phậnChi phí không phân bổ,Kết quả hoạt động kinh doanhLợi nhuận gộp của bộ phậnChi phí không phân bổ,687.622.457.325,897.662.480.747,23.542.408.473,101.554.506.265,1.710.381.852.810(976.535.236.121),687622457325.0,897662480747.0,23542408473.0,101554506265.0,
Lợi nhuận từ hoạt động kinh doanhLợi nhuận từ công ty liên kếtDoanh thu hoạt động tài chínhChi phí tải chínhLợi nhuận khác,Lợi nhuận từ hoạt động kinh doanhLợi nhuận từ công ty liên kếtDoanh thu hoạt động tài chínhChi phí tải chínhLợi nhuận khác,Lợi nhuận từ hoạt động kinh doanhLợi nhuận từ công ty liên kếtDoanh thu hoạt động tài chínhChi phí tải chínhLợi nhuận khác,,,,,733.846.616.689(112.382.121.820)409.150.647.017(593.252.985.005)15.790.920.926,,,,,
Lợi nhuận trước thuếChi phí thuế TNDNChi phí thuế TNDN hoãn lại,Lợi nhuận trước thuếChi phí thuế TNDNChi phí thuế TNDN hoãn lại,Lợi nhuận trước thuếChi phí thuế TNDNChi phí thuế TNDN hoãn lại,,,,,453.153.077.807(171.914.882.384)(130.998.156.825),,,,,
Lợi nhuận thuần sau thuếLợi ích cổ đông không kiểm soát,Lợi nhuận thuần sau thuếLợi ích cổ đông không kiểm soát,Lợi nhuận thuần sau thuếLợi ích cổ đông không kiểm soát,,,,,150.240.038.598(21.743.250.633),,,,,
Lợi nhuận sau thuế công ty mẹ,Lợi nhuận thuần sau thuếLợi ích cổ đông không kiểm soát > Lợi nhuận sau thuế công ty mẹ,Lợi nhuận sau thuế công ty mẹ,,,,,171.983.289.231,,,,,171983289231.0
Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,,,,,
Tài sản và công nợTài sản bộ phậnTài sản không phân bổ,Vào ngày 31 tháng 12 năm 2023 > Tài sản và công nợTài sản bộ phậnTài sản không phân bổ,Tài sản và công nợTài sản bộ phậnTài sản không phân bổ,18.840.081.483.492,22.082.553.193.052,276.302.233,(13.169.341.930.457),27.753.569.048.3201.032.871.805.997,18840081483492.0,22082553193052.0,276302233.0,-13169341930457.0,2.7753569048320105e+26
Tổng tài sảnCông nợ bộ phậnCông nợ không phân bổ,Vào ngày 31 tháng 12 năm 2023 > Tổng tài sảnCông nợ bộ phậnCông nợ không phân bổ,Tổng tài sảnCông nợ bộ phậnCông nợ không phân bổ,7.756.143.580.657,20.744.089.140.594,194.411.795,(15.284.210.242.479),28.786.440.854.31713.216.216.890.5671.383.856.056.109,7756143580657.0,20744089140594.0,194411795.0,-15284210242479.0,2.8786440854317134e+40
Tổng công nợ,Vào ngày 31 tháng 12 năm 2023 > Tổng công nợ,Tổng công nợ,,,,,14.600.072.946.676,,,,,14600072946676.0
