row_label_raw,row_label_full,col_0,Giá trị ghi số > Số cuối năm VND,Giá trị ghi số > Số đầu năm VND,numeric__Giá trị ghi số > Số cuối năm VND,numeric__Giá trị ghi số > Số đầu năm VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.278.293.115.224,1.959.453.323.823,1278293115224.0,1959453323823.0
Đầu tư tài chính,Tài sản tài chính > Đầu tư tài chính,Đầu tư tài chính,1.620.043.474.800,1.006.966.262.300,1620043474800.0,1006966262300.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,973.259.312.701,807.887.212.278,973259312701.0,807887212278.0
Tổng cộng,Tài sản tài chính > Tổng cộng,Tổng cộng,3.871.595.902.725,3.774.306.798.401,3871595902725.0,3774306798401.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,2.988.094.159.340,2.689.954.068.636,2988094159340.0,2689954068636.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,1.326.472.292.806,1.221.124.807.365,1326472292806.0,1221124807365.0
Chỉ phí phải trả,Công nợ tài chính > Chỉ phí phải trả,Chỉ phí phải trả,156.653.569.502,52.334.954.054,156653569502.0,52334954054.0
Tổng cộng,Công nợ tài chính > Tổng cộng,Tổng cộng,4.471.220.021.648,3.963.413.830.055,4471220021648.0,3963413830055.0
