row_label_raw,row_label_full,Số cuối năm,Dịch vụ vận tải VND,Dịch vụ hàng hải dầu khí VND,Thường mại VND,Dịch vụ khác VND,Tổng VND,numeric__Dịch vụ vận tải VND,numeric__Dịch vụ hàng hải dầu khí VND,numeric__Thường mại VND,numeric__Dịch vụ khác VND,numeric__Tổng VND
"Tài sản bộ phậnLãi từ công ty liên doanh, liên kếtTài sản không phân bổTổng tài sản hợp nhất","Tài sản bộ phậnLãi từ công ty liên doanh, liên kếtTài sản không phân bổTổng tài sản hợp nhất","Tài sản bộ phậnLãi từ công ty liên doanh, liên kếtTài sản không phân bổTổng tài sản hợp nhất",8.144.425.767.615,1.596.759.792.088,162.016.353.662,175.820.000,9.903.377.733.36545.184.860.787253.669.018.86010.202.231.613.012,8144425767615.0,1596759792088.0,162016353662.0,175820000.0,9.903377733365453e+49
Nợ phải trả bộ phậnNợ phải trả không phân bổTổng nợ phải trả hợp nhất,Nợ phải trả bộ phậnNợ phải trả không phân bổTổng nợ phải trả hợp nhất,Nợ phải trả bộ phậnNợ phải trả không phân bổTổng nợ phải trả hợp nhất,3.170.886.061.321,450.149.572.387,197.522.753.222,29.078.679.393,3.847.637.066.3231.215.036.638.9995.062.673.705.322,3170886061321.0,450149572387.0,197522753222.0,29078679393.0,3.847637066323121e+38
Số đầu năm,Số đầu năm,Số đầu năm,Dịch vụ vận tải VND,Dịch vụ hàng hải dầu khí VND,Thường mại VND,Dịch vụ khác VND,Tổng VND,,,,,
"Tài sản bộ phậnLãi từ công ty liên doanh, liên kếtTài sản không phân bổTổng tài sản hợp nhất","Số đầu năm > Tài sản bộ phậnLãi từ công ty liên doanh, liên kếtTài sản không phân bổTổng tài sản hợp nhất","Tài sản bộ phậnLãi từ công ty liên doanh, liên kếtTài sản không phân bổTổng tài sản hợp nhất",7.179.572.159.755,1.362.042.768.927,242.645.519.749,-,8.784.260.448.43143.648.804.453375.632.813.6249.203.542.066.508,7179572159755.0,1362042768927.0,242645519749.0,,8.784260448431437e+48
Nợ phải trả bộ phậnNợ phải trả không phân bổTổng nợ phải trả hợp nhất,Số đầu năm > Nợ phải trả bộ phậnNợ phải trả không phân bổTổng nợ phải trả hợp nhất,Nợ phải trả bộ phậnNợ phải trả không phân bổTổng nợ phải trả hợp nhất,2.145.711.996.942,537.884.367.634,127.031.667.288,8.241.149.973,2.818.869.181.8371.722.971.173.9164.541.840.355.753,2145711996942.0,537884367634.0,127031667288.0,8241149973.0,2.8188691818371722e+38
