row_label_raw,row_label_full,Số cuối năm,Dưới 1 nămVND > Số cuối năm,Từ 1 đến 5 nămVND > Số cuối năm,Trên 5 nămVND > Số cuối năm,TổngVND > Số cuối năm,numeric__Dưới 1 nămVND > Số cuối năm,numeric__Từ 1 đến 5 nămVND > Số cuối năm,numeric__Trên 5 nămVND > Số cuối năm,numeric__TổngVND > Số cuối năm
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.278.293.115.224,-,-,1.278.293.115.224,1278293115224.0,,,1278293115224.0
Đầu tư tài chính,Đầu tư tài chính,Đầu tư tài chính,1.572.305.707.500,-,47.737.767.300,1.620.043.474.800,1572305707500.0,,47737767300.0,1620043474800.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,964.265.586.749,8.993.725.952,-,973.259.312.701,964265586749.0,8993725952.0,,973259312701.0
,,,3.814.864.409.473,8.993.725.952,47.737.767.300,3.871.595.902.725,3814864409473.0,8993725952.0,47737767300.0,3871595902725.0
Các khoản vay,Các khoản vay,Các khoản vay,663.352.997.672,1.851.719.211.743,473.021.949.925,2.988.094.159.340,663352997672.0,1851719211743.0,473021949925.0,2988094159340.0
Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,1.033.776.181.153,118.389.151.653,174.306.960.000,1.326.472.292.806,1033776181153.0,118389151653.0,174306960000.0,1326472292806.0
Chỉ phí phải trả,Chỉ phí phải trả,Chỉ phí phải trả,151.819.821.495,4.833.748.007,-,156.653.569.502,151819821495.0,4833748007.0,,156653569502.0
,,,1.848.949.000.320,1.974.942.111.403,647.328.909.925,4.471.220.021.648,1848949000320.0,1974942111403.0,647328909925.0,4471220021648.0
Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,1.965.915.409.153,(1.965.948.385.451),(599.591.142.625),(599.624.118.923),1965915409153.0,-1965948385451.0,-599591142625.0,-599624118923.0
,,,Dưới 1 nămVND,Từ 1 đến 5 nămVND,Trên 5 nămVND,TổngVND,,,,
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,
Tiền và các khoản tương đương tiền,Số đầu năm > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.959.453.323.823,-,-,1.959.453.323.823,1959453323823.0,,,1959453323823.0
Đầu tư tài chính,Số đầu năm > Đầu tư tài chính,Đầu tư tài chính,961.028.495.000,-,45.937.767.300,1.006.966.262.300,961028495000.0,,45937767300.0,1006966262300.0
Phải thu khách hàng và phải thu khác,Số đầu năm > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,799.111.894.441,8.775.317.837,-,807.887.212.278,799111894441.0,8775317837.0,,807887212278.0
,,,3.719.593.713.264,8.775.317.837,45.937.767.300,3.774.306.798.401,3719593713264.0,8775317837.0,45937767300.0,3774306798401.0
Các khoản vay,Số đầu năm > Các khoản vay,Các khoản vay,536.916.427.894,1.515.100.526.115,637.937.114.627,2.689.954.068.636,536916427894.0,1515100526115.0,637937114627.0,2689954068636.0
Phải trả người bán và phải trả khác,Số đầu năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,900.158.803.712,117.797.651.653,203.168.352.000,1.221.124.807.365,900158803712.0,117797651653.0,203168352000.0,1221124807365.0
Chỉ phí phải trả,Số đầu năm > Chỉ phí phải trả,Chỉ phí phải trả,47.607.259.457,4.727.694.597,-,52.334.954.054,47607259457.0,4727694597.0,,52334954054.0
,,,1.484.682.491.063,1.637.625.872.365,841.105.466.627,3.963.413.830.055,1484682491063.0,1637625872365.0,841105466627.0,3963413830055.0
Chênh lệch thanh khoản thuần,Số đầu năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,2.234.911.222.201,(1.628.850.554.528),(795.167.699.327),(189.107.031.654),2234911222201.0,-1628850554528.0,-795167699327.0,-189107031654.0
