row_label_raw,row_label_full,col_0,Chi phí sửa chữa lớntau đầu thòvà sản phẩm khíVND,Dự phòng khácVND,Tổng cộngVND,numeric__Chi phí sửa chữa lớntau đầu thòvà sản phẩm khíVND,numeric__Dự phòng khácVND,numeric__Tổng cộngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,237.175.812.390,6.426.387.371,243.602.199.761,237175812390.0,6426387371.0,243602199761.0
Trích lập trong năm,Trích lập trong năm,Trích lập trong năm,76.239.251.108,13.410.236.506,89.649.487.614,76239251108.0,13410236506.0,89649487614.0
Các khoản dự phòng đã sử dụng,Các khoản dự phòng đã sử dụng,Các khoản dự phòng đã sử dụng,(114.208.731.697),(3.421.286.440),(117.630.018.137),-114208731697.0,-3421286440.0,-117630018137.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,199.206.331.801,16.415.337.437,215.621.669.238,199206331801.0,16415337437.0,215621669238.0
