row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,TổngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,529.726.274,9.721.614.390,8.325.546.169.215,12.562.495.069,8.348.360.004.948,529726274.0,9721614390.0,8325546169215.0,12562495069.0,8348360004948.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,3.931.790.969,1.287.800.002.861,2.338.769.773,1.294.070.563.603,,3931790969.0,1287800002861.0,2338769773.0,1294070563603.0
Xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Xây dựng cơ bản hoàn thành,Xây dựng cơ bản hoàn thành,6.833.645.056,-,-,-,6.833.645.056,6833645056.0,,,,6833645056.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(817.146.505.432),(34.000.000),(817.180.505.432),,,-817146505432.0,-34000000.0,-817180505432.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,-,-,(978.659.152),-,(978.659.152),,,-978659152.0,,-978659152.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,7.363.371.330,13.653.405.359,8.795.221.007.492,14.867.264.842,8.831.105.049.023,7363371330.0,13653405359.0,8795221007492.0,14867264842.0,8831105049023.0
GIÁ TRỊ HAO MÒN LƯỸ KẾ,GIÁ TRỊ HAO MÒN LƯỸ KẾ,GIÁ TRỊ HAO MÒN LƯỸ KẾ,GIÁ TRỊ HAO MÒN LƯỸ KẾ,GIÁ TRỊ HAO MÒN LƯỸ KẾ,GIÁ TRỊ HAO MÒN LƯỸ KẾ,GIÁ TRỊ HAO MÒN LƯỸ KẾ,GIÁ TRỊ HAO MÒN LƯỸ KẾ,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LƯỸ KẾ > Số dư đầu năm,Số dư đầu năm,(370.808.368),(9.234.219.315),(3.367.910.296.369),(9.864.767.517),(3.387.380.091.569),-370808368.0,-9234219315.0,-3367910296369.0,-9864767517.0,-3387380091569.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÒN LƯỸ KẾ > Khẩu hao trong năm,Khẩu hao trong năm,(150.023.112),(542.725.498),(595.361.943.558),(1.993.740.178),(598.048.432.346),-150023112.0,-542725498.0,-595361943558.0,-1993740178.0,-598048432346.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LƯỸ KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,776.954.048.244,-,776.954.048.244,,,776954048244.0,,776954048244.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LƯỸ KẾ > Số dư cuối năm,Số dư cuối năm,(520.831.480),(9.776.944.813),(3.186.318.191.683),(11.858.507.695),(3.208.474.475.671),-520831480.0,-9776944813.0,-3186318191683.0,-11858507695.0,-3208474475671.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,6.842.539.850,3.876.460.546,5.608.902.815.809,3.008.757.147,5.622.630.573.352,6842539850.0,3876460546.0,5608902815809.0,3008757147.0,5622630573352.0
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,158.917.906,487.395.075,4.957.635.872.846,2.697.727.552,4.960.979.913.379,158917906.0,487395075.0,4957635872846.0,2697727552.0,4960979913379.0
