row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,2.814.401.620.000,130.912.914.538,47.218.399.245,580.536.736.829,760.392.579.627,4.333.462.250.239,2814401620000.0,130912914538.0,47218399245.0,580536736829.0,760392579627.0,4333462250239.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,-,-,-,-,155.106.018.500,155.106.018.500,,,,,155106018500.0,155106018500.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,450.110.653.904,83.575.464.927,533.686.118.831,,,,450110653904.0,83575464927.0,533686118831.0
Cổ tức công bố,Cổ tức công bố,Cổ tức công bố,-,-,-,(281.440.162.000),(23.814.186.212),(305.254.348.212),,,,-281440162000.0,-23814186212.0,-305254348212.0
Phân phối quỹ,Phân phối quỹ,Phân phối quỹ,-,74.673.796.757,-,(74.673.796.757),-,-,,74673796757.0,,-74673796757.0,,
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,(42.430.804.009),(3.375.954.756),(45.806.758.765),,,,-42430804009.0,-3375954756.0,-45806758765.0
"Thù lao Ban Tổng Giám đốc, Hội đồng Quản trị","Thù lao Ban Tổng Giám đốc, Hội đồng Quản trị","Thù lao Ban Tổng Giám đốc, Hội đồng Quản trị",-,-,-,(4.236.072.247),(290.978.333),(4.527.050.580),,,,-4236072247.0,-290978333.0,-4527050580.0
Điều chính lợi ích cổ đông không kiểm soát,Điều chính lợi ích cổ đông không kiểm soát,Điều chính lợi ích cổ đông không kiểm soát,-,-,-,(2.552.695.585),2.552.695.585,-,,,,-2552695585.0,2552695585.0,
Điều chính khác,Điều chính khác,Điều chính khác,-,-,-,(5.033.874.856),69.355.598,(4.964.519.258),,,,-5033874856.0,69355598.0,-4964519258.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,2.814.401.620.000,205.586.711.295,47.218.399.245,620.279.985.279,974.214.994.936,4.661.701.710.755,2814401620000.0,205586711295.0,47218399245.0,620279985279.0,974214994936.0,4661701710755.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,-,-,-,-,49.000.000.000,49.000.000.000,,,,,49000000000.0,49000000000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,652.092.847.637,127.977.882.893,780.070.730.530,,,,652092847637.0,127977882893.0,780070730530.0
Cổ tức công bố,Cổ tức công bố,Cổ tức công bố,-,-,-,(281.442.162.000),(29.218.650.000),(310.660.812.000),,,,-281442162000.0,-29218650000.0,-310660812000.0
Phân phối quỹ,Phân phối quỹ,Phân phối quỹ,-,108.971.335.921,-,(108.971.335.921),-,-,,108971335921.0,,-108971335921.0,,
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,(26.106.493.980),(4.397.508.101),(30.504.002.081),,,,-26106493980.0,-4397508101.0,-30504002081.0
"Thù lao Ban Tổng Giám đốc, Hội đồng Quản trị","Thù lao Ban Tổng Giám đốc, Hội đồng Quản trị","Thù lao Ban Tổng Giám đốc, Hội đồng Quản trị",-,-,-,(4.936.775.533),(666.996.091),(5.603.771.624),,,,-4936775533.0,-666996091.0,-5603771624.0
Điều chính khác,Điều chính khác,Điều chính khác,-,-,-,(4.409.167.308),(36.780.582),(4.445.947.890),,,,-4409167308.0,-36780582.0,-4445947890.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,2.814.401.620.000,314.558.047.216,47.218.399.245,846.506.898.174,1.116.872.943.055,5.139.557.907.690,2814401620000.0,314558047216.0,47218399245.0,846506898174.0,1116872943055.0,5139557907690.0
