row_label_raw,row_label_full,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Năm nayVND > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Năm trướcVND > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,numeric__Năm nayVND > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,numeric__Năm trướcVND > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm
Chi phí lương,Chi phí lương,Chi phí lương,138.594.181.634,104.222.740.302,138594181634.0,104222740302.0
Chi phí khác,Chi phí khác,Chi phí khác,133.204.559.554,128.915.020.708,133204559554.0,128915020708.0
Hoàn nhập dự phòng nợ phải thu khó đòi,Hoàn nhập dự phòng nợ phải thu khó đòi,Hoàn nhập dự phòng nợ phải thu khó đòi,(624.626.022),(149.692.187),-624626022.0,-149692187.0
,,,271.174.115.166,232.988.068.823,271174115166.0,232988068823.0
Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,,
Chi phí dịch vụ mua ngoài,Các khoản chi phí bán hàng phát sinh trong năm > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,3.750.406.545,6.059.089.754,3750406545.0,6059089754.0
Chi phí khác,Các khoản chi phí bán hàng phát sinh trong năm > Chi phí khác,Chi phí khác,6.334.051.899,3.445.625.530,6334051899.0,3445625530.0
,,,10.084.458.444,9.504.715.284,10084458444.0,9504715284.0
