row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,NỘ PHẢI TRÀ,300,,5.062.673.705.322,4.541.840.355.753,,300.0,,5062673705322.0,4541840355753.0
I.,I.,I.,Nợ ngắn hạn,310,,2.404.775.728.039,1.972.889.886.852,,310.0,,2404775728039.0,1972889886852.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,17,775.279.144.410,682.333.972.033,,311.0,17.0,775279144410.0,682333972033.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,,17.700.629.761,9.123.912.809,,312.0,,17700629761.0,9123912809.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,18,93.004.853.342,101.446.892.053,,313.0,18.0,93004853342.0,101446892053.0
4.,4.,4.,Phải trả người lao động,314,,153.869.819.731,128.404.599.583,,314.0,,153869819731.0,128404599583.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,19,151.819.821.495,47.607.259.457,,315.0,19.0,151819821495.0,47607259457.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,,7.709.255.117,836.500.000,,318.0,,7709255117.0,836500000.0
7.,7.,7.,Phải trả ngắn hạn khác,319,20,263.965.627.716,217.824.831.679,,319.0,20.0,263965627716.0,217824831679.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,21,663.352.997.672,536.916.427.894,,320.0,21.0,663352997672.0,536916427894.0
9.,9.,9.,Dự phòng phải trả ngắn hạn,321,22,179.994.713.283,153.383.069.852,,321.0,22.0,179994713283.0,153383069852.0
10.,10.,10.,"Quỹ khen thưởng, phúc lợi",322,,98.078.865.512,95.012.421.492,,322.0,,98078865512.0,95012421492.0
II.,II.,II.,Nợ dài hạn,330,,2.657.897.977.283,2.568.950.468.901,,330.0,,2657897977283.0,2568950468901.0
1.,1.,1.,Phải trả người bán dài hạn,331,17,259.752.528.000,288.613.920.000,,331.0,17.0,259752528000.0,288613920000.0
2.,2.,2.,Chi phí phải trả dài hạn,333,19,4.833.748.007,4.727.694.597,,333.0,19.0,4833748007.0,4727694597.0
3.,3.,3.,Phải trả dài hạn khác,337,20,32.943.583.653,32.352.083.653,,337.0,20.0,32943583653.0,32352083653.0
4.,4.,4.,Vay và nợ thuê tài chính dài hạn,338,23,2.324.741.161.668,2.153.037.640.742,,338.0,23.0,2324741161668.0,2153037640742.0
5.,5.,5.,Dự phòng phải trả dài hạn,342,22,35.626.955.955,90.219.129.909,,342.0,22.0,35626955955.0,90219129909.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,5.139.557.907.690,4.661.701.710.755,,400.0,,5139557907690.0,4661701710755.0
I.,I.,I.,Vốn chủ sở hữu,410,24,5.139.557.907.690,4.661.701.710.755,,410.0,24.0,5139557907690.0,4661701710755.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,2.814.401.620.000,2.814.401.620.000,,411.0,,2814401620000.0,2814401620000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,2.814.401.620.000,2.814.401.620.000,,,,2814401620000.0,2814401620000.0
2.,2.,2.,Quỹ đầu tư phát triển,418,,314.558.047.216,205.586.711.295,,418.0,,314558047216.0,205586711295.0
3.,3.,3.,Quỹ khác thuộc vốn chủ sở hữu,420,,47.218.399.245,47.218.399.245,,420.0,,47218399245.0,47218399245.0
4.,4.,4.,Lợi nhuận sau thuế chưa phân phối,421,,846.506.898.174,620.279.985.279,,421.0,,846506898174.0,620279985279.0
,,,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,194.414.050.537,170.169.331.375,,,,194414050537.0,170169331375.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,652.092.847.637,450.110.653.904,,,,652092847637.0,450110653904.0
5.,5.,5.,Lợi ích cổ đông không kiểm soát,429,,1.116.872.943.055,974.214.994.936,,429.0,,1116872943055.0,974214994936.0
,,,TỔNG CỘNG NGUỒN VỐN(440=300+400),440,,10.202.231.613.012,9.203.542.066.508,,440.0,,10202231613012.0,9203542066508.0
Nguyễn Thị Kim Oanh Người lập biểu,Nguyễn Thị Kim Oanh Người lập biểu,Nguyễn Thị Kim Oanh Người lập biểu,Nguyễn Thị Kim Oanh Người lập biểu,Lê Anh NamKế toán trường,,Phạm Việt AnhTổng Giám đốcNgày 27 tháng 02 năm 2019,Phạm Việt AnhTổng Giám đốcNgày 27 tháng 02 năm 2019,,,,,
