row_label_raw,row_label_full,col_0,Năm nayVND,Năm trướcVND,numeric__Năm nayVND,numeric__Năm trướcVND
Mua hàng và dịch vụ,Mua hàng và dịch vụ,Mua hàng và dịch vụ,Mua hàng và dịch vụ,Mua hàng và dịch vụ,,
Công ty Cổ phần Kinh doanh Khí hóa lỏng Miền Nam,Mua hàng và dịch vụ > Công ty Cổ phần Kinh doanh Khí hóa lỏng Miền Nam,Công ty Cổ phần Kinh doanh Khí hóa lỏng Miền Nam,165.066.862.675,409.781.999.125,165066862675.0,409781999125.0
Công ty Cổ phần Xăng dầu Dầu khí Sài Gòn,Mua hàng và dịch vụ > Công ty Cổ phần Xăng dầu Dầu khí Sài Gòn,Công ty Cổ phần Xăng dầu Dầu khí Sài Gòn,145.919.703.219,149.705.794.317,145919703219.0,149705794317.0
Công ty Cổ phần Xăng dầu Dầu khí Vũng Tàu,Mua hàng và dịch vụ > Công ty Cổ phần Xăng dầu Dầu khí Vũng Tàu,Công ty Cổ phần Xăng dầu Dầu khí Vũng Tàu,125.929.235.682,61.539.351.354,125929235682.0,61539351354.0
Công ty TNHH MTV Lộc hóa Dầu Bình Sơn,Mua hàng và dịch vụ > Công ty TNHH MTV Lộc hóa Dầu Bình Sơn,Công ty TNHH MTV Lộc hóa Dầu Bình Sơn,94.347.849.698,80.270.614.325,94347849698.0,80270614325.0
Công ty Cổ phần Xăng dầu Dầu khí Hải Phòng,Mua hàng và dịch vụ > Công ty Cổ phần Xăng dầu Dầu khí Hải Phòng,Công ty Cổ phần Xăng dầu Dầu khí Hải Phòng,66.057.849.599,29.437.783.563,66057849599.0,29437783563.0
Công ty Cổ phần Cảng Dịch vụ Dầu khí Tổng hợp PTSC Thanh Hóa,Mua hàng và dịch vụ > Công ty Cổ phần Cảng Dịch vụ Dầu khí Tổng hợp PTSC Thanh Hóa,Công ty Cổ phần Cảng Dịch vụ Dầu khí Tổng hợp PTSC Thanh Hóa,53.633.910.477,3.756.242.877,53633910477.0,3756242877.0
Liên Doanh Việt Nga - Vietsovpetro,Mua hàng và dịch vụ > Liên Doanh Việt Nga - Vietsovpetro,Liên Doanh Việt Nga - Vietsovpetro,53.418.075.249,50.318.448.372,53418075249.0,50318448372.0
Chi nhánh Tổng Công ty Khí Việt Nam - Công ty Cổ phần - Công ty Kinh doanh Sản phẩm khí,Mua hàng và dịch vụ > Chi nhánh Tổng Công ty Khí Việt Nam - Công ty Cổ phần - Công ty Kinh doanh Sản phẩm khí,Chi nhánh Tổng Công ty Khí Việt Nam - Công ty Cổ phần - Công ty Kinh doanh Sản phẩm khí,52.250.773.860,142.367.853.455,52250773860.0,142367853455.0
Tổng Công ty Cổ phần Bảo hiểm Dầu khí,Mua hàng và dịch vụ > Tổng Công ty Cổ phần Bảo hiểm Dầu khí,Tổng Công ty Cổ phần Bảo hiểm Dầu khí,30.667.363.657,18.146.031.213,30667363657.0,18146031213.0
Công ty Bảo hiểm Dầu khí Phía Nam,Mua hàng và dịch vụ > Công ty Bảo hiểm Dầu khí Phía Nam,Công ty Bảo hiểm Dầu khí Phía Nam,24.436.884.344,26.269.475.176,24436884344.0,26269475176.0
Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí Vũng Tàu,Mua hàng và dịch vụ > Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí Vũng Tàu,Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí Vũng Tàu,23.928.978.031,18.747.140.554,23928978031.0,18747140554.0
Công ty Cổ phần Đào tạo Kỹ thuật PVD,Mua hàng và dịch vụ > Công ty Cổ phần Đào tạo Kỹ thuật PVD,Công ty Cổ phần Đào tạo Kỹ thuật PVD,8.540.763.997,-,8540763997.0,
Công ty Cổ phần Xăng dầu Dầu khí Thái Bình,Mua hàng và dịch vụ > Công ty Cổ phần Xăng dầu Dầu khí Thái Bình,Công ty Cổ phần Xăng dầu Dầu khí Thái Bình,8.363.671.881,7.783.350.390,8363671881.0,7783350390.0
Công ty TNHH MTV Công nghiệp Tàu thủy Dung Quất,Mua hàng và dịch vụ > Công ty TNHH MTV Công nghiệp Tàu thủy Dung Quất,Công ty TNHH MTV Công nghiệp Tàu thủy Dung Quất,7.703.980.836,-,7703980836.0,
Tập đoàn Dầu khí Việt Nam,Mua hàng và dịch vụ > Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,7.077.111.278,7.894.220.364,7077111278.0,7894220364.0
Công ty Bảo hiểm Dầu khí Vũng Tàu,Mua hàng và dịch vụ > Công ty Bảo hiểm Dầu khí Vũng Tàu,Công ty Bảo hiểm Dầu khí Vũng Tàu,6.789.580.460,26.269.475.176,6789580460.0,26269475176.0
Công ty TNHH MTV Điều Hành Thẩm Dò Khai thác Dầu khí trong nước,Mua hàng và dịch vụ > Công ty TNHH MTV Điều Hành Thẩm Dò Khai thác Dầu khí trong nước,Công ty TNHH MTV Điều Hành Thẩm Dò Khai thác Dầu khí trong nước,4.760.300.786,4.300.888.802,4760300786.0,4300888802.0
