row_label_raw,row_label_full,a) Ngắn hạn
Tải sản thừa chờ giải quyết,Tải sản thừa chờ giải quyết,Tải sản thừa chờ giải quyết
Kinh phí công đoàn,Kinh phí công đoàn,Kinh phí công đoàn
Bảo hiểm xã hội,Bảo hiểm xã hội,Bảo hiểm xã hội
Bảo hiểm y tế,Bảo hiểm y tế,Bảo hiểm y tế
Bảo hiểm thất nghiệp,Bảo hiểm thất nghiệp,Bảo hiểm thất nghiệp
"Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả"
"Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác"
Công ty CP Du Lịch Đồng Tháp,Công ty CP Du Lịch Đồng Tháp,Công ty CP Du Lịch Đồng Tháp
Cty TNHH MTV Kiểm Định và Đầu Tư Toàn Cầu,Cty TNHH MTV Kiểm Định và Đầu Tư Toàn Cầu,Cty TNHH MTV Kiểm Định và Đầu Tư Toàn Cầu
Trần Thủy Thanh Thảo,Trần Thủy Thanh Thảo,Trần Thủy Thanh Thảo
Vũ Đức Thảo,Vũ Đức Thảo,Vũ Đức Thảo
"Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác"
b) Dải hạn,b) Dải hạn,b) Dải hạn
"Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn"
"Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác"
Cộng,Cộng,Cộng
